"","paper_id","sample_country","clean_name","author","title","year","journal","volume","issue","pages","notes"
"1",3,"Mexico","Gliricidia sepium","Acosta-Duran and Martinez-Romero","Diversity of rhizobia from nodules of the leguminous tree Gliricidia sepium, a natural host of Rhizobium tropici",2002,"Archives of Microbiology",178,"","161-164",""
"2",7,"Algeria","Cytisus villosus","Ahnia et al","Cytisus villosus from Northeastern Algeria is nodulated by genetically diverse Bradyrhizobium strains",2014,"Antonie van Leeuwenhoek",105,"","1121-1129","also checks nodulation of rhizobia on other plants"
"6",10,"Spain","Vicia sativa","Alvarez-Martinez et al","The analysis of core and symbiotic genes of rhizobia nodulating Vicia from diVerent continents reveals their common phylogenetic origin and suggests the distribution of Rhizobium leguminosarum strains together with Vicia seeds",2009,"Archives of Microbiology",191,"","659-668","compared to reference strains from other continents"
"11",12,"Sweden","Anthyllis vulneraria","Ampomah and Huss-Danell","Genetic diversity of root nodule bacteria nodulating Lotus corniculatus and Anthyllis vulneraria in Sweden",2011,"Systematic and Applied Microbiology",34,"","267-275",""
"14",12,"Sweden","Lotus corniculatus","Ampomah and Huss-Danell","Genetic diversity of root nodule bacteria nodulating Lotus corniculatus and Anthyllis vulneraria in Sweden",2011,"Systematic and Applied Microbiology",34,"","267-275",""
"17",13,"Russia","Thermopsis lupinoides","Ampomah and Huss-Danell","Nodulation of Thermopsis lupinoides by a Mesorhizobium huakuii Strain with a Unique nodA Gene in Kamtchatka, Russia",2011,"Applied and Environmental Microbiology",77,"15","5513-5516","also checks nodulation of rhizobia on other plants"
"21",16,"United_States","Lupinus texensis","Andam and Parker","Novel Alphaproteobacterial Root Nodule Symbiont Associated with Lupinus texensis",2007,"Applied and Environmental Microbiology",73,"17","5687-5691",""
"26",17,"Philippines","Wallaceodendron celebicum","Andam and Parker","Origins of Bradyrhizobium nodule symbionts from two legume trees in the Philippines",2008,"Journal of Biogeography",35,"","1030-1039","compared to reference strains from other continents"
"29",17,"Philippines","Pterocarpus indicus","Andam and Parker","Origins of Bradyrhizobium nodule symbionts from two legume trees in the Philippines",2008,"Journal of Biogeography",35,"","1030-1039","compared to reference strains from other continents"
"32",18,"United_States","Mimosa asperata","Andam et al","Monophyly of nodA and nifH Genes across Texan and Costa Rican Populations of Cupriavidus Nodule Symbionts",2007,"Applied and Environmental Microbiology",73,"14","4686-4690","compared to reference strains from other continents"
