paper_id,new_name,sample_country,paper_plant_status,annual_perennial,growth_form,sample_continent,Graph_x,avg_strain_richness
24,Acacia saligna,Australia,nonnative,perennial,woody,AU,Non-native (n=17),14
24,Acacia longifolia,Australia,native,perennial,woody,AU,Native (n=53),10.33333333
46,Acacia karroo,Algeria,nonnative,perennial,woody,AF,Non-native (n=17),7
46,Acacia saligna,Algeria,nonnative,perennial,woody,AF,Non-native (n=17),17
46,Acacia ehrenbergiana,Algeria,native,perennial,woody,AF,Native (n=53),3
46,Acacia seyal,Algeria,native,perennial,woody,AF,Native (n=53),5
77,Prosopis juliflora,Senegal,nonnative,perennial,woody,AF,Non-native (n=17),2
77,Acacia senegal,Senegal,native,perennial,woody,AF,Native (n=53),2
77,Acacia tortilis,Senegal,native,perennial,woody,AF,Native (n=53),2
79,Lupinus polyphyllus,Belgium,nonnative,perennial,herb,EU,Non-native (n=17),3
79,Robinia pseudoacacia,Belgium,nonnative,perennial,woody,EU,Non-native (n=17),4
79,Securigera varia,Belgium,nonnative,perennial,herb,EU,Non-native (n=17),1
79,Trifolium hybridum,Belgium,nonnative,perennial,herb,EU,Non-native (n=17),1
79,Cytisus scoparius,Belgium,native,perennial,woody,EU,Native (n=53),6
79,Lathyrus pratensis,Belgium,native,perennial,herb,EU,Native (n=53),1
79,Lotus corniculatus,Belgium,native,perennial,woody,EU,Native (n=53),5
79,Lotus pedunculatus,Belgium,native,perennial,herb,EU,Native (n=53),3
79,Medicago lupulina,Belgium,native,perennial,herb,EU,Native (n=53),8
79,Melilotus indicus,Belgium,native,annual,herb,EU,Native (n=53),2
79,Melilotus officinalis,Belgium,native,perennial,herb,EU,Native (n=53),3
79,Ononis spinosa,Belgium,native,perennial,woody,EU,Native (n=53),1
79,Ornithopus perpusillus,Belgium,native,annual,herb,EU,Native (n=53),3
79,Trifolium arvense,Belgium,native,perennial,herb,EU,Native (n=53),2
79,Trifolium campestre,Belgium,native,annual,herb,EU,Native (n=53),1
79,Trifolium dubium,Belgium,native,annual,herb,EU,Native (n=53),1
79,Trifolium pratense,Belgium,native,perennial,herb,EU,Native (n=53),2
79,Trifolium repens,Belgium,native,perennial,herb,EU,Native (n=53),4
79,Vicia cracca,Belgium,native,perennial,herb,EU,Native (n=53),3
79,Vicia sativa,Belgium,native,perennial,herb,EU,Native (n=53),1
79,Vicia sepium,Belgium,native,perennial,herb,EU,Native (n=53),1
79,Vicia tetrasperma,Belgium,native,perennial,herb,EU,Native (n=53),1
97,Leucaena leucocephala,Brazil,nonnative,perennial,woody,SA,Non-native (n=17),2
97,Macroptilium atropurpureum,Brazil,native,perennial,herb,SA,Native (n=53),6
97,Sesbania virgata,Brazil,native,perennial,woody,SA,Native (n=53),1
113,Lathyrus odoratus,China,nonnative,annual,herb,AS,Non-native (n=17),3.25
113,Robinia pseudoacacia,China,nonnative,perennial,woody,AS,Non-native (n=17),3.2
113,Astragalus aksuensis,China,native,perennial,herb,AS,Native (n=53),1
113,Astragalus filicaulis,China,native,annual,herb,AS,Native (n=53),1
113,Lathyrus gmelinii,China,native,perennial,herb,AS,Native (n=53),4.5
113,Lathyrus humilis,China,native,perennial,herb,AS,Native (n=53),1.6
113,Lotus frondosus,China,native,perennial,herb,AS,Native (n=53),3.4
113,Lotus tenuis,China,native,perennial,herb,AS,Native (n=53),3
113,Oxytropis glabra,China,native,perennial,herb,AS,Native (n=53),2
113,Vicia cracca,China,native,perennial,herb,AS,Native (n=53),3.25
113,Vicia sativa,China,native,perennial,herb,AS,Native (n=53),2.2
115,Robinia pseudoacacia,China,nonnative,perennial,woody,AS,Non-native (n=17),2.222222222
115,Astragalus filicaulis,China,native,annual,herb,AS,Native (n=53),2
115,Lotus frondosus,China,native,perennial,herb,AS,Native (n=53),7
115,Oxytropis glabra,China,native,perennial,herb,AS,Native (n=53),1
119,Melilotus officinalis,China,nonnative,perennial,herb,AS,Non-native (n=17),3
119,Astragalus tatsienensis,China,native,,,AS,Native (n=53),3
119,Caragana sinica,China,native,perennial,woody,AS,Native (n=53),5
119,Medicago archiducis-nicolai,China,native,,,AS,Native (n=53),3.25
119,Medicago falcata,China,native,perennial,herb,AS,Native (n=53),1
119,Medicago lupulina,China,native,perennial,herb,AS,Native (n=53),2
119,Oxytropis cachemiriana,China,native,perennial,herb,AS,Native (n=53),5.2
119,Oxytropis glabra,China,native,perennial,herb,AS,Native (n=53),2
119,Oxytropis subpodoloba,China,native,,,AS,Native (n=53),3.333333333
119,Tibetia himalaica,China,native,perennial,herb,AS,Native (n=53),2
119,Vicia tibetica,China,native,annual,herb,AS,Native (n=53),2.25
138,Cytisus scoparius,Australia,nonnative,perennial,woody,AU,Non-native (n=17),21
158,Amorpha fruticosa,China,nonnative,perennial,woody,AS,Non-native (n=17),13.66666667
158,Cercis racemosa,China,native,,,AS,Native (n=53),8.666666667
158,Wisteria sinensis,China,native,perennial,woody,AS,Native (n=53),10
217,Acacia longifolia,Portugal,nonnative,perennial,woody,EU,Non-native (n=17),12.5
217,Cytisus grandiflorus,Portugal,native,perennial,woody,EU,Native (n=53),3.75
217,Cytisus scoparius,Portugal,native,perennial,woody,EU,Native (n=53),4.333333333
217,Ulex europaeus,Portugal,native,perennial,woody,EU,Native (n=53),8
256,Prosopis chilensis,Sudan,nonnative,perennial,woody,AF,Non-native (n=17),8
256,Acacia senegal,Sudan,native,perennial,woody,AF,Native (n=53),14
