"","paper_id","new_name","paper_plant_status","annual_perennial","growth_form","sample_country","sample_continent","num_nodules","genetic_region","strain_richness","compares_natinv","Graph_x","strain_richness_TF"
"1",24,"Acacia longifolia","native","perennial","woody","Australia","AU",61,"nifD",5,1,"Native (n=136)",1.6094379124341
"2",24,"Acacia longifolia","native","perennial","woody","Australia","AU",61,"16S",9,1,"Native (n=136)",2.19722457733622
"3",24,"Acacia longifolia","native","perennial","woody","Australia","AU",61,"BOX_PCR",17,1,"Native (n=136)",2.83321334405622
"4",24,"Acacia saligna","nonnative","perennial","woody","Australia","AU",58,"BOX_PCR",23,1,"Non Native (n=57)",3.13549421592915
"5",24,"Acacia saligna","nonnative","perennial","woody","Australia","AU",58,"16S",12,1,"Non Native (n=57)",2.484906649788
"6",24,"Acacia saligna","nonnative","perennial","woody","Australia","AU",58,"nifD",7,1,"Non Native (n=57)",1.94591014905531
"7",46,"Acacia karroo","nonnative","perennial","woody","Algeria","AF",11,"16S",7,1,"Non Native (n=57)",1.94591014905531
"8",46,"Acacia saligna","nonnative","perennial","woody","Algeria","AF",21,"16S",17,1,"Non Native (n=57)",2.83321334405622
"9",46,"Acacia seyal","native","perennial","woody","Algeria","AF",10,"16S",5,1,"Native (n=136)",1.6094379124341
"10",51,"Mimosa pudica","nonnative","perennial","woody","India","AS",44,"16S",8,1,"Non Native (n=57)",2.07944154167984
"11",51,"Mimosa pudica","nonnative","perennial","woody","India","AS",44,"nodA",7,1,"Non Native (n=57)",1.94591014905531
"12",51,"Mimosa pudica","nonnative","perennial","woody","India","AS",44,"nifH",9,1,"Non Native (n=57)",2.19722457733622
"16",77,"Acacia senegal","native","perennial","woody","Senegal","AF",5,"16S",1,1,"Native (n=136)",0
"17",77,"Acacia senegal","native","perennial","woody","Senegal","AF",5,"rep_PCR",3,1,"Native (n=136)",1.09861228866811
"18",77,"Acacia tortilis","native","perennial","woody","Senegal","AF",5,"rep_PCR",3,1,"Native (n=136)",1.09861228866811
"19",77,"Acacia tortilis","native","perennial","woody","Senegal","AF",5,"16S",1,1,"Native (n=136)",0
"20",77,"Prosopis juliflora","nonnative","perennial","woody","Senegal","AF",5,"16S",1,1,"Non Native (n=57)",0
"21",77,"Prosopis juliflora","nonnative","perennial","woody","Senegal","AF",5,"rep_PCR",3,1,"Non Native (n=57)",1.09861228866811
"22",79,"Cytisus scoparius","native","perennial","woody","Belgium","EU",31,"nifH",6,1,"Native (n=136)",1.79175946922805
"23",79,"Cytisus scoparius","native","perennial","woody","Belgium","EU",31,"16S",6,1,"Native (n=136)",1.79175946922805
"24",79,"Cytisus scoparius","native","perennial","woody","Belgium","EU",31,"nodC",6,1,"Native (n=136)",1.79175946922805
"25",79,"Cytisus scoparius","native","perennial","woody","Belgium","EU",31,"recA",6,1,"Native (n=136)",1.79175946922805
"26",79,"Lathyrus pratensis","native","perennial","herb","Belgium","EU",10,"recA",1,1,"Native (n=136)",0
"27",79,"Lathyrus pratensis","native","perennial","herb","Belgium","EU",10,"nodC",1,1,"Native (n=136)",0
"28",79,"Lathyrus pratensis","native","perennial","herb","Belgium","EU",10,"16S",1,1,"Native (n=136)",0
"29",79,"Lathyrus pratensis","native","perennial","herb","Belgium","EU",10,"nifH",1,1,"Native (n=136)",0
"30",79,"Lotus corniculatus","native","perennial","woody","Belgium","EU",22,"recA",5,1,"Native (n=136)",1.6094379124341
"31",79,"Lotus corniculatus","native","perennial","woody","Belgium","EU",22,"nodC",5,1,"Native (n=136)",1.6094379124341
"32",79,"Lotus corniculatus","native","perennial","woody","Belgium","EU",22,"nifH",5,1,"Native (n=136)",1.6094379124341
"33",79,"Lotus corniculatus","native","perennial","woody","Belgium","EU",22,"16S",5,1,"Native (n=136)",1.6094379124341
"34",79,"Lotus pedunculatus","native","perennial","herb","Belgium","EU",23,"recA",3,1,"Native (n=136)",1.09861228866811
"35",79,"Lotus pedunculatus","native","perennial","herb","Belgium","EU",23,"nifH",3,1,"Native (n=136)",1.09861228866811
"36",79,"Lotus pedunculatus","native","perennial","herb","Belgium","EU",23,"nodC",3,1,"Native (n=136)",1.09861228866811
"37",79,"Lotus pedunculatus","native","perennial","herb","Belgium","EU",23,"16S",3,1,"Native (n=136)",1.09861228866811
"38",79,"Lupinus polyphyllus","nonnative","perennial","herb","Belgium","EU",11,"recA",3,1,"Non Native (n=57)",1.09861228866811
"39",79,"Lupinus polyphyllus","nonnative","perennial","herb","Belgium","EU",11,"16S",3,1,"Non Native (n=57)",1.09861228866811
"40",79,"Lupinus polyphyllus","nonnative","perennial","herb","Belgium","EU",11,"nodC",3,1,"Non Native (n=57)",1.09861228866811
"41",79,"Lupinus polyphyllus","nonnative","perennial","herb","Belgium","EU",11,"nifH",3,1,"Non Native (n=57)",1.09861228866811
"42",79,"Medicago lupulina","native","perennial","herb","Belgium","EU",32,"recA",8,1,"Native (n=136)",2.07944154167984
"43",79,"Medicago lupulina","native","perennial","herb","Belgium","EU",32,"nifH",8,1,"Native (n=136)",2.07944154167984
"44",79,"Medicago lupulina","native","perennial","herb","Belgium","EU",32,"nodC",8,1,"Native (n=136)",2.07944154167984
"45",79,"Medicago lupulina","native","perennial","herb","Belgium","EU",32,"16S",8,1,"Native (n=136)",2.07944154167984
"46",79,"Melilotus officinalis","native","perennial","herb","Belgium","EU",5,"nodC",3,1,"Native (n=136)",1.09861228866811
"47",79,"Melilotus officinalis","native","perennial","herb","Belgium","EU",5,"recA",3,1,"Native (n=136)",1.09861228866811
"48",79,"Melilotus officinalis","native","perennial","herb","Belgium","EU",5,"16S",3,1,"Native (n=136)",1.09861228866811
"49",79,"Melilotus officinalis","native","perennial","herb","Belgium","EU",5,"nifH",3,1,"Native (n=136)",1.09861228866811
"50",79,"Ornithopus perpusillus","native","annual","herb","Belgium","EU",6,"nifH",3,1,"Native (n=136)",1.09861228866811
"51",79,"Ornithopus perpusillus","native","annual","herb","Belgium","EU",6,"nodC",3,1,"Native (n=136)",1.09861228866811
"52",79,"Ornithopus perpusillus","native","annual","herb","Belgium","EU",6,"recA",3,1,"Native (n=136)",1.09861228866811
"53",79,"Ornithopus perpusillus","native","annual","herb","Belgium","EU",6,"16S",3,1,"Native (n=136)",1.09861228866811
"54",79,"Robinia pseudoacacia","nonnative","perennial","woody","Belgium","EU",18,"recA",4,1,"Non Native (n=57)",1.38629436111989
"55",79,"Robinia pseudoacacia","nonnative","perennial","woody","Belgium","EU",18,"nifH",4,1,"Non Native (n=57)",1.38629436111989
"56",79,"Robinia pseudoacacia","nonnative","perennial","woody","Belgium","EU",18,"16S",4,1,"Non Native (n=57)",1.38629436111989
"57",79,"Robinia pseudoacacia","nonnative","perennial","woody","Belgium","EU",18,"nodC",4,1,"Non Native (n=57)",1.38629436111989
"58",79,"Trifolium arvense","native","perennial","herb","Belgium","EU",11,"recA",2,1,"Native (n=136)",0.693147180559945
"59",79,"Trifolium arvense","native","perennial","herb","Belgium","EU",11,"16S",2,1,"Native (n=136)",0.693147180559945
"60",79,"Trifolium arvense","native","perennial","herb","Belgium","EU",11,"nodC",2,1,"Native (n=136)",0.693147180559945
"61",79,"Trifolium arvense","native","perennial","herb","Belgium","EU",11,"nifH",2,1,"Native (n=136)",0.693147180559945
"62",79,"Trifolium campestre","native","annual","herb","Belgium","EU",5,"recA",1,1,"Native (n=136)",0
"63",79,"Trifolium campestre","native","annual","herb","Belgium","EU",5,"nifH",1,1,"Native (n=136)",0
"64",79,"Trifolium campestre","native","annual","herb","Belgium","EU",5,"16S",1,1,"Native (n=136)",0
"65",79,"Trifolium campestre","native","annual","herb","Belgium","EU",5,"nodC",1,1,"Native (n=136)",0
"66",79,"Trifolium dubium","native","annual","herb","Belgium","EU",12,"recA",1,1,"Native (n=136)",0
"67",79,"Trifolium dubium","native","annual","herb","Belgium","EU",12,"16S",1,1,"Native (n=136)",0
"68",79,"Trifolium dubium","native","annual","herb","Belgium","EU",12,"nifH",1,1,"Native (n=136)",0
"69",79,"Trifolium dubium","native","annual","herb","Belgium","EU",12,"nodC",1,1,"Native (n=136)",0
"70",79,"Trifolium hybridum","nonnative","perennial","herb","Belgium","EU",10,"nodC",1,1,"Non Native (n=57)",0
"71",79,"Trifolium hybridum","nonnative","perennial","herb","Belgium","EU",10,"nifH",1,1,"Non Native (n=57)",0
"72",79,"Trifolium hybridum","nonnative","perennial","herb","Belgium","EU",10,"recA",1,1,"Non Native (n=57)",0
"73",79,"Trifolium hybridum","nonnative","perennial","herb","Belgium","EU",10,"16S",1,1,"Non Native (n=57)",0
"74",79,"Trifolium pratense","native","perennial","herb","Belgium","EU",29,"recA",2,1,"Native (n=136)",0.693147180559945
"75",79,"Trifolium pratense","native","perennial","herb","Belgium","EU",29,"nodC",2,1,"Native (n=136)",0.693147180559945
"76",79,"Trifolium pratense","native","perennial","herb","Belgium","EU",29,"16S",2,1,"Native (n=136)",0.693147180559945
"77",79,"Trifolium pratense","native","perennial","herb","Belgium","EU",29,"nifH",2,1,"Native (n=136)",0.693147180559945
"78",79,"Trifolium repens","native","perennial","herb","Belgium","EU",36,"16S",4,1,"Native (n=136)",1.38629436111989
"79",79,"Trifolium repens","native","perennial","herb","Belgium","EU",36,"nodC",4,1,"Native (n=136)",1.38629436111989
"80",79,"Trifolium repens","native","perennial","herb","Belgium","EU",36,"recA",4,1,"Native (n=136)",1.38629436111989
"81",79,"Trifolium repens","native","perennial","herb","Belgium","EU",36,"nifH",4,1,"Native (n=136)",1.38629436111989
"82",79,"Vicia cracca","native","perennial","herb","Belgium","EU",27,"nodC",3,1,"Native (n=136)",1.09861228866811
"83",79,"Vicia cracca","native","perennial","herb","Belgium","EU",27,"16S",3,1,"Native (n=136)",1.09861228866811
"84",79,"Vicia cracca","native","perennial","herb","Belgium","EU",27,"recA",3,1,"Native (n=136)",1.09861228866811
"85",79,"Vicia cracca","native","perennial","herb","Belgium","EU",27,"nifH",3,1,"Native (n=136)",1.09861228866811
"86",79,"Vicia sativa","native","perennial","herb","Belgium","EU",13,"recA",1,1,"Native (n=136)",0
"87",79,"Vicia sativa","native","perennial","herb","Belgium","EU",13,"nodC",1,1,"Native (n=136)",0
"88",79,"Vicia sativa","native","perennial","herb","Belgium","EU",13,"nifH",1,1,"Native (n=136)",0
"89",79,"Vicia sativa","native","perennial","herb","Belgium","EU",13,"16S",1,1,"Native (n=136)",0
"90",79,"Vicia sepium","native","perennial","herb","Belgium","EU",5,"16S",1,1,"Native (n=136)",0
"91",79,"Vicia sepium","native","perennial","herb","Belgium","EU",5,"recA",1,1,"Native (n=136)",0
"92",79,"Vicia sepium","native","perennial","herb","Belgium","EU",5,"nifH",1,1,"Native (n=136)",0
"93",79,"Vicia sepium","native","perennial","herb","Belgium","EU",5,"nodC",1,1,"Native (n=136)",0
"94",79,"Vicia tetrasperma","native","perennial","herb","Belgium","EU",8,"nifH",1,1,"Native (n=136)",0
"95",79,"Vicia tetrasperma","native","perennial","herb","Belgium","EU",8,"16S",1,1,"Native (n=136)",0
"96",79,"Vicia tetrasperma","native","perennial","herb","Belgium","EU",8,"nodC",1,1,"Native (n=136)",0
"97",79,"Vicia tetrasperma","native","perennial","herb","Belgium","EU",8,"recA",1,1,"Native (n=136)",0
"100",97,"Leucaena leucocephala","nonnative","perennial","woody","Brazil","SA",42,"16S",2,1,"Non Native (n=57)",0.693147180559945
"101",97,"Macroptilium atropurpureum","native","perennial","herb","Brazil","SA",91,"16S",6,1,"Native (n=136)",1.79175946922805
"102",97,"Sesbania virgata","native","perennial","woody","Brazil","SA",80,"16S",1,1,"Native (n=136)",0
"103",113,"Lathyrus odoratus","nonnative","annual","herb","China","AS",8,"ARDRA",2,1,"Non Native (n=57)",0.693147180559945
"104",113,"Lathyrus odoratus","nonnative","annual","herb","China","AS",8,"RFLP-IGS",4,1,"Non Native (n=57)",1.38629436111989
"105",113,"Lathyrus odoratus","nonnative","annual","herb","China","AS",8,"atpd-glnII-recA-IGS",4,1,"Non Native (n=57)",1.38629436111989
"106",113,"Lathyrus odoratus","nonnative","annual","herb","China","AS",6,"nodC",3,1,"Non Native (n=57)",1.09861228866811
"107",113,"Lotus frondosus","native","perennial","herb","China","AS",14,"atpd-glnII-recA-IGS",4,1,"Native (n=136)",1.38629436111989
"108",113,"Lotus frondosus","native","perennial","herb","China","AS",13,"nodC",3,1,"Native (n=136)",1.09861228866811
"109",113,"Lotus frondosus","native","perennial","herb","China","AS",14,"ARDRA",3,1,"Native (n=136)",1.09861228866811
"110",113,"Lotus frondosus","native","perennial","herb","China","AS",14,"RFLP-IGS",4,1,"Native (n=136)",1.38629436111989
"111",113,"Lotus tenuis","native","perennial","herb","China","AS",8,"RFLP-IGS",3,1,"Native (n=136)",1.09861228866811
"112",113,"Lotus tenuis","native","perennial","herb","China","AS",8,"atpd-glnII-recA-IGS",4,1,"Native (n=136)",1.38629436111989
"113",113,"Lotus tenuis","native","perennial","herb","China","AS",8,"ARDRA",3,1,"Native (n=136)",1.09861228866811
"114",113,"Lathyrus gmelinii","native","perennial","herb","China","AS",5,"RFLP-IGS",5,1,"Native (n=136)",1.6094379124341
"115",113,"Lathyrus gmelinii","native","perennial","herb","China","AS",5,"ARDRA",3,1,"Native (n=136)",1.09861228866811
"116",113,"Lathyrus gmelinii","native","perennial","herb","China","AS",5,"atpd-glnII-recA-IGS",5,1,"Native (n=136)",1.6094379124341
"117",113,"Lathyrus gmelinii","native","perennial","herb","China","AS",5,"nodC",5,1,"Native (n=136)",1.6094379124341
"118",113,"Oxytropis glabra","native","perennial","herb","China","AS",5,"RFLP-IGS",2,1,"Native (n=136)",0.693147180559945
"119",113,"Oxytropis glabra","native","perennial","herb","China","AS",5,"ARDRA",2,1,"Native (n=136)",0.693147180559945
"120",113,"Oxytropis glabra","native","perennial","herb","China","AS",5,"atpd-glnII-recA-IGS",2,1,"Native (n=136)",0.693147180559945
