paper_id,sample_country,sample_continent,genetic_region,nonnative_species,nonnative_plant_status,nonnative_strain_richness,total_rhizobial_symbionts,native_species,symbiont_overlap,overlap_ratio,notes
24,Australia,AU,16S,Acacia saligna,nonnative,12,,Acacia longifolia,,,
24,Australia,AU,BOX_PCR,Acacia saligna,nonnative,23,,Acacia longifolia,,,
24,Australia,AU,nifD,Acacia saligna,nonnative,7,,Acacia longifolia,,,
46,Algeria,AF,16S,Acacia karroo,nonnative,7,,Acacia seyal,,,
46,Algeria,AF,16S,Acacia saligna,nonnative,17,,Acacia seyal,,,
77,Senegal,AF,16S,Prosopis juliflora,nonnative,1,,Acacia senegal,,,
77,Senegal,AF,16S,Prosopis juliflora,nonnative,1,,Acacia tortilis,,,
77,Senegal,AF,rep_PCR,Prosopis juliflora,nonnative,3,,Acacia senegal,,,
77,Senegal,AF,rep_PCR,Prosopis juliflora,nonnative,3,,Acacia tortilis,,,
79,Belgium,EU,16S,Lupinus polyphyllus,nonnative,3,,Cytisus scoparius,,,
79,Belgium,EU,16S,Lupinus polyphyllus,nonnative,3,,Lathyrus pratensis,,,
79,Belgium,EU,16S,Lupinus polyphyllus,nonnative,3,,Lotus corniculatus,,,
79,Belgium,EU,16S,Lupinus polyphyllus,nonnative,3,,Lotus pedunculatus,,,
79,Belgium,EU,16S,Lupinus polyphyllus,nonnative,3,,Medicago lupulina,,,
79,Belgium,EU,16S,Lupinus polyphyllus,nonnative,3,,Melilotus officinalis,,,
79,Belgium,EU,16S,Lupinus polyphyllus,nonnative,3,,Ornithopus perpusillus,,,
79,Belgium,EU,16S,Lupinus polyphyllus,nonnative,3,,Trifolium arvense,,,
79,Belgium,EU,16S,Lupinus polyphyllus,nonnative,3,,Trifolium campestre,,,
79,Belgium,EU,16S,Lupinus polyphyllus,nonnative,3,,Trifolium dubium,,,
79,Belgium,EU,16S,Lupinus polyphyllus,nonnative,3,,Trifolium pratense,,,
79,Belgium,EU,16S,Lupinus polyphyllus,nonnative,3,,Trifolium repens,,,
79,Belgium,EU,16S,Lupinus polyphyllus,nonnative,3,,Vicia cracca,,,
79,Belgium,EU,16S,Lupinus polyphyllus,nonnative,3,,Vicia sativa,,,
79,Belgium,EU,16S,Lupinus polyphyllus,nonnative,3,,Vicia sepium,,,
79,Belgium,EU,16S,Lupinus polyphyllus,nonnative,3,,Vicia tetrasperma,,,
79,Belgium,EU,nifH,Lupinus polyphyllus,nonnative,3,,Cytisus scoparius,,,
79,Belgium,EU,nifH,Lupinus polyphyllus,nonnative,3,,Lathyrus pratensis,,,
79,Belgium,EU,nifH,Lupinus polyphyllus,nonnative,3,,Lotus corniculatus,,,
79,Belgium,EU,nifH,Lupinus polyphyllus,nonnative,3,,Lotus pedunculatus,,,
