paper_id,author,year,clean_name,plant_status,sample_country
182,Monza et al,1992,Lotus corniculatus,introduced,Uruguay
44,Bottomley et al,1994,Lupinus angustifolius,introduced,United_States
44,Bottomley et al,1994,Macroptilium atropurpureum,introduced,United_States
44,Bottomley et al,1994,Ornithopus compressus,introduced,United_States
76,de Lajudie,1994,Acacia horrida,native,Senegal
76,de Lajudie,1994,Acacia laeta,native,Senegal
76,de Lajudie,1994,Acacia senegal,native,Senegal
76,de Lajudie,1994,Acacia seyal,native,Senegal
76,de Lajudie,1994,Acacia tortilis,native,Senegal
76,de Lajudie,1994,Sesbania rostrata,native,Senegal
76,de Lajudie,1994,Sesbania senegal,introduced,Senegal
90,Dupuy et al,1994,Faidherbia albida,native,Senegal
61,Chen et al,1995,Caragana polourensis,native,China
61,Chen et al,1995,Glycyrrhiza pallidiflora,native,China
61,Chen et al,1995,Glycyrrhiza uralensis,native,China
61,Chen et al,1995,Halimodendron halodendron,native,China
61,Chen et al,1995,Sophora alopecuroides,native,China
61,Chen et al,1995,Sphaerophysa salsula,native,China
89,Drouin et al,1996,Lathyrus japonicus,native,Canada
89,Drouin et al,1996,Lathyrus pratensis,introduced,Canada
223,Rome et al,1996,Medicago truncatula,native,France
255,Sullivan et al,1996,Lotus corniculatus,introduced,New_Zealand
144,Laguerre et al,1997,Astragalus alpinus,native,Canada
144,Laguerre et al,1997,Astragalus cicer,introduced,Canada
144,Laguerre et al,1997,Oxytropis deflexa,native,United_States
144,Laguerre et al,1997,Oxytropis maydelliana,native,Canada
144,Laguerre et al,1997,Oxytropis riparia,introduced,United_States
77,de Lajudie,1998,Acacia senegal,native,Senegal
77,de Lajudie,1998,Acacia tortilis,native,Senegal
77,de Lajudie,1998,Prosopis juliflora,introduced,Senegal
199,Prin et al,1998,Acacia mangium,native,Australia
263,VineUnited_States et al,1998,Cytisus proliferus,native,Canary_Islands
265,Wang et al,1998,Sesbania herbacea,native,Mexico
78,de Lajudie,1999,Prosopis juliflora,introduced,Senegal
173,Marsudi et al,1999,Acacia saligna,native,Australia
