paper_id,author,year,journal,clean_name,sample country,paper_plant_status,global_plant_status,Figure 2,Figure 3,Figure 4,Figure 5,title
182,Monza et al,1992,Soil Biology and Biochemistry,Lotus corniculatus,Uruguay,Non-Native,Non-Native,X,,,,Characterization of an indigenous population of Rhizobia nodulating Lotus Corniculatus
44,Bottomley et al,1994,Applied and Environmental Microbiology,Lupinus angustifolius,United States,Non-Native,Non-Native,X,,,,Genetic Structure and Symbiotic Characteristics of a Bradyrhizobium Population Recovered from a Pasture Soil
44,Bottomley et al,1994,Applied and Environmental Microbiology,Macroptilium atropurpureum,United States,Non-Native,Non-Native,X,,,,Genetic Structure and Symbiotic Characteristics of a Bradyrhizobium Population Recovered from a Pasture Soil
44,Bottomley et al,1994,Applied and Environmental Microbiology,Ornithopus compressus,United States,Non-Native,Non-Native,X,,,,Genetic Structure and Symbiotic Characteristics of a Bradyrhizobium Population Recovered from a Pasture Soil
76,de Lajudie,1994,International Journal of Systematic Bacteriology,Acacia horrida,Senegal,Native,Native,X,,,,"Polyphasic taxonomy of rhizobia: Emendation of the genus Sinorhizobium and description of Sinorhizobium meliloti comb. nov., Sinorhizobium saheli sp. nov., and Sinorhizobium teranga sp. nov."
76,de Lajudie,1994,International Journal of Systematic Bacteriology,Acacia laeta,Senegal,Native,Non-Native,X,,,,"Polyphasic taxonomy of rhizobia: Emendation of the genus Sinorhizobium and description of Sinorhizobium meliloti comb. nov., Sinorhizobium saheli sp. nov., and Sinorhizobium teranga sp. nov."
76,de Lajudie,1994,International Journal of Systematic Bacteriology,Acacia senegal,Senegal,Native,Non-Native,X,,,,"Polyphasic taxonomy of rhizobia: Emendation of the genus Sinorhizobium and description of Sinorhizobium meliloti comb. nov., Sinorhizobium saheli sp. nov., and Sinorhizobium teranga sp. nov."
76,de Lajudie,1994,International Journal of Systematic Bacteriology,Acacia seyal,Senegal,Native,Non-Native,X,,,,"Polyphasic taxonomy of rhizobia: Emendation of the genus Sinorhizobium and description of Sinorhizobium meliloti comb. nov., Sinorhizobium saheli sp. nov., and Sinorhizobium teranga sp. nov."
76,de Lajudie,1994,International Journal of Systematic Bacteriology,Acacia tortilis,Senegal,Native,Non-Native,X,,,,"Polyphasic taxonomy of rhizobia: Emendation of the genus Sinorhizobium and description of Sinorhizobium meliloti comb. nov., Sinorhizobium saheli sp. nov., and Sinorhizobium teranga sp. nov."
76,de Lajudie,1994,International Journal of Systematic Bacteriology,Sesbania rostrata,Senegal,Native,Non-Native,X,,X,,"Polyphasic taxonomy of rhizobia: Emendation of the genus Sinorhizobium and description of Sinorhizobium meliloti comb. nov., Sinorhizobium saheli sp. nov., and Sinorhizobium teranga sp. nov."
76,de Lajudie,1994,International Journal of Systematic Bacteriology,Sesbania senegal,Senegal,Native,Non-Native,X,,,,"Polyphasic taxonomy of rhizobia: Emendation of the genus Sinorhizobium and description of Sinorhizobium meliloti comb. nov., Sinorhizobium saheli sp. nov., and Sinorhizobium teranga sp. nov."
90,Dupuy et al,1994,International Journal of Systematic Bacteriology,Faidherbia albida,Senegal,Native,Non-Native,X,,,,Phenotypic and genotypic characterization of bradyrhizobia nodulating the leguminous tree Acacia albida
