paper_id,author,year,journal,clean_name,sample_country,paper_plant_status,global_plant_status,Figure 2,Figure 3,Figure 4,Figure 5
182,Monza et al,1992,Soil Biology and Biochemistry,Lotus corniculatus,Uruguay,nonnative,nonnative,1,,,
44,Bottomley et al,1994,Applied and Environmental Microbiology,Lupinus angustifolius,United_States,nonnative,nonnative,1,,,
44,Bottomley et al,1994,Applied and Environmental Microbiology,Macroptilium atropurpureum,United_States,nonnative,nonnative,1,,,
44,Bottomley et al,1994,Applied and Environmental Microbiology,Ornithopus compressus,United_States,nonnative,nonnative,1,,,
76,de Lajudie,1994,International Journal of Systematic Bacteriology,Acacia horrida,Senegal,native,native,1,,,
76,de Lajudie,1994,International Journal of Systematic Bacteriology,Acacia laeta,Senegal,native,nonnative,1,,,
76,de Lajudie,1994,International Journal of Systematic Bacteriology,Acacia senegal,Senegal,native,nonnative,1,,,
76,de Lajudie,1994,International Journal of Systematic Bacteriology,Acacia seyal,Senegal,NA,NA,1,,,
76,de Lajudie,1994,International Journal of Systematic Bacteriology,Acacia tortilis,Senegal,native,nonnative,1,,,
76,de Lajudie,1994,International Journal of Systematic Bacteriology,Sesbania rostrata,Senegal,native,nonnative,1,,1,
76,de Lajudie,1994,International Journal of Systematic Bacteriology,Sesbania senegal,Senegal,NA,NA,1,,,
90,Dupuy et al,1994,International Journal of Systematic Bacteriology,Faidherbia albida,Senegal,native,nonnative,1,,,
61,Chen et al,1995,International Journal of Systematic Bacteriology,Caragana polourensis,China,native,native,1,,,
61,Chen et al,1995,International Journal of Systematic Bacteriology,Glycyrrhiza pallidiflora,China,native,nonnative,1,,,
61,Chen et al,1995,International Journal of Systematic Bacteriology,Glycyrrhiza uralensis,China,native,native,1,,,
61,Chen et al,1995,International Journal of Systematic Bacteriology,Halimodendron halodendron,China,native,nonnative,1,,,
61,Chen et al,1995,International Journal of Systematic Bacteriology,Sophora alopecuroides,China,native,nonnative,1,,,
61,Chen et al,1995,International Journal of Systematic Bacteriology,Sphaerophysa salsula,China,native,nonnative,1,,,
89,Drouin et al,1996,International Journal of Systematic Bacteriology,Lathyrus japonicus,Canada,native,nonnative,1,,,
89,Drouin et al,1996,International Journal of Systematic Bacteriology,Lathyrus pratensis,Canada,nonnative,nonnative,1,,1,
223,Rome et al,1996,Archives of Microbiology,Medicago truncatula,France,native,nonnative,1,,,
255,Sullivan et al,1996,Applied and Environmental Microbiology,Lotus corniculatus,New_Zealand,nonnative,nonnative,1,,1,
144,Laguerre et al,1997,Applied and Environmental Microbiology,Astragalus alpinus,Canada,native,native,1,,,
144,Laguerre et al,1997,Applied and Environmental Microbiology,Astragalus cicer,Canada,nonnative,nonnative,1,,1,
