Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Supplement,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration ,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD ","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,UT (Unique ID),Pubmed Id,
J,"Liu, Xiaoyun; You, Shenghao; Liu, Huajie; Yuan, Baojuan; Wang, Haoyu; James, Euan K; Wang, Fang; Cao, Weidong; Liu, Zhong Kuan",,,,,,,,Diversity and Geographic Distribution of Microsymbionts Associated With Invasive Mimosa Species in Southern China.,,,,,,,,Frontiers in microbiology,,,,11,,,,563389,563389,,10.3389/fmicb.2020.563389,,,,2020,2020,"In order to investigated diversity and geographic distribitution of rhizobia associated with invasive Mimosa species, Mimosa nodules and soils around the plants were sampled from five provinces in southern China. In total, 361 isolates were obtained from Mimosa pudica and Mimosa diplotricha in 25 locations. A multi-locus sequence analysis (MLSA) including 16S rRNA, atpD, dnaK, glnA, gyrB, and recA identified the isolates into eight genospecies corresponding to Paraburkhleria mimosarum, Paraburkholderia phymatum, Paraburkholeria carbensis, Cupriavidus taiwanensis, Cupriavidus sp., Rhizobium altiplani, Rhizobium mesoamericanum, and Rhizobium etli. The majority of the isolates were Cupriavidus (62.6%), followed by Paraburkholderia (33.5%) and Rhizobium (2.9%). Cupriavidus strains were more predominant in nodules of M. diplotricha (76.2) than in M. pudica (59.9%), and the distribution of P. phymatum in those two plant species was reverse (3.4:18.2%). Four symbiotypes were defined among the isolates based upon the phylogeny of nodA-nifH genes, represented by P. mimosarum, P. phymatum-P. caribensis, Cupriavidus spp., and Rhizobium spp. The species affiliation and the symbiotype division among the isolates demonstrated the multiple origins of Mimosa rhizobia in China: most were similar to those found in the original centers of Mimosa plants, but Cupriavidus sp. might have a local origin. The unbalanced distribution of symbionts between the two Mimosa species might be related to the soil pH, organic matter and available nitrogen; Cupriavidus spp. generally dominated most of the soils colonized by Mimosa in this study, but it had a particular preference for neutral-alkaline soils with low fertility whereas. While Paraburkholderia spp. preferred more acidic and fertile soils. The Rhizobium spp. tended to prefer neutral-acidic soils with high fertility soils.",,,,,,,,,3,0,0,0,3,0,3,,,1664-302X,,,MEDLINE:33250864,33250864,
J,"Liu, Wendy Y Y; Ridgway, Hayley J; James, Trevor K; James, Euan K; Chen, Wen-Ming; Sprent, Janet I; Young, J Peter W; Andrews, Mitchell",,,,"Ridgway, Hayley J/J-6720-2013; Young, Peter/C-1446-2012; Andrews, Mitchell/R-3874-2018; James, Euan K/K-1135-2012","Ridgway, Hayley J/0000-0002-0735-7649; Young, Peter/0000-0001-5259-4830; Andrews, Mitchell/0000-0002-3875-7290; James, Euan K/0000-0001-7969-6570",,,Burkholderia sp. induces functional nodules on the South African invasive legume Dipogon lignosus (Phaseoleae) in New Zealand soils.,,,,,,,,Microbial ecology,,,,68,3,,,542,55,,10.1007/s00248-014-0427-0,,,,2014-Oct,2014,"The South African invasive legume Dipogon lignosus (Phaseoleae) produces nodules with both determinate and indeterminate characteristics in New Zealand (NZ) soils. Ten bacterial isolates produced functional nodules on D. lignosus. The 16S ribosomal RNA (rRNA) gene sequences identified one isolate as Bradyrhizobium sp., one isolate as Rhizobium sp. and eight isolates as Burkholderia sp. The Bradyrhizobium sp. and Rhizobium sp. 16S rRNA sequences were identical to those of strains previously isolated from crop plants and may have originated from inocula used on crops. Both 16S rRNA and DNA recombinase A (recA) gene sequences placed the eight Burkholderia isolates separate from previously described Burkholderia rhizobial species. However, the isolates showed a very close relationship to Burkholderia rhizobial strains isolated from South African plants with respect to their nitrogenase iron protein (nifH), N-acyltransferase nodulation protein A (nodA) and N-acetylglucosaminyl transferase nodulation protein C (nodC) gene sequences. Gene sequences and enterobacterial repetitive intergenic consensus (ERIC) PCR and repetitive element palindromic PCR (rep-PCR) banding patterns indicated that the eight Burkholderia isolates separated into five clones of one strain and three of another. One strain was tested and shown to produce functional nodules on a range of South African plants previously reported to be nodulated by Burkholderia tuberum STM678(T) which was isolated from the Cape Region. Thus, evidence is strong that the Burkholderia strains isolated here originated in South Africa and were somehow transported with the plants from their native habitat to NZ. It is possible that the strains are of a new species capable of nodulating legumes.",,,,,,,,,36,0,0,0,34,1,36,,,,1432-184X,,MEDLINE:24801964,24801964,
J,"Paynter, Quentin; Paterson, Iain D; Kwong, Raelene M",,,,,,,,Predicting non-target impacts.,,,,,,,,Current opinion in insect science,,,,38,,,,79,83,,10.1016/j.cois.2020.02.002,,,,2020-04,2020,"Biocontrol of invasive alien weeds has produced great benefits, but concerns over undesirable impacts on non-target plants and/or indirect interactions between biocontrol agents and other biota impede the implementation of biocontrol in some countries. Although great strides have been made, continuing uncertainties predicting the realized host range of candidate agents is probably resulting in some being erroneously rejected due to overestimation of risk. Further refinement of host-range testing protocols is therefore desirable. Indirect interactions are inherently harder to predict, and the risk of both direct and indirect non-target impacts may change over time due to biocontrol agents evolving or expanding their range under climate change. Future research directions to better understand the risk of non-target impacts over time are discussed.",,,,,,,,,11,0,0,0,11,0,11,,,,2214-5753,,MEDLINE:32240966,32240966,
J,"Porter, Stephanie S; Faber-Hammond, Joshua J; Friesen, Maren L",,,,,"Friesen, Maren/0000-0002-4274-8928; Porter, Stephanie/0000-0002-1193-9705",,,Co-invading symbiotic mutualists of Medicago polymorpha retain high ancestral diversity and contain diverse accessory genomes.,,,,,,,,FEMS microbiology ecology,,,,94,1,,,,,,10.1093/femsec/fix168,,,,2018-01-01,2018,"Exotic, invasive plants and animals can wreak havoc on ecosystems by displacing natives and altering environmental conditions. However, much less is known about the identities or evolutionary dynamics of the symbiotic microbes that accompany invasive species. Most leguminous plants rely upon symbiotic rhizobium bacteria to fix nitrogen and are incapable of colonizing areas devoid of compatible rhizobia. We compare the genomes of symbiotic rhizobia in a portion of the legume's invaded range with those of the rhizobium symbionts from across the legume's native range. We show that in an area of California the legume Medicago polymorpha has invaded, its Ensifer medicae symbionts: (i) exhibit genome-wide patterns of relatedness that together with historical evidence support host-symbiont co-invasion from Europe into California, (ii) exhibit population genomic patterns consistent with the introduction of the majority of deep diversity from the native range, rather than a genetic bottleneck during colonization of California and (iii) harbor a large set of accessory genes uniquely enriched in binding functions, which could play a role in habitat invasion. Examining microbial symbiont genome dynamics during biological invasions is critical for assessing host-symbiont co-invasions whereby microbial symbiont range expansion underlies plant and animal invasions.",,,,,,,,,5,0,0,0,5,0,5,,,,1574-6941,,MEDLINE:29228264,29228264,
J,"Gudzinskas, Zigmantas; Taura, Laurynas",,,,"Gudzinskas, Zigmantas/ABD-1843-2020","Gudzinskas, Zigmantas/0000-0001-6230-5924",,,"Do Reproductive Traits of Invasive Populations of Scotch Broom, Cytisus scoparius (Fabaceae), Outperform Native Populations?",,,,,,,,"Plants (Basel, Switzerland)",,,,11,16,,,,,,10.3390/plants11162158,,,,2022 Aug 19,2022,"Reproductive traits are among the most important factors in determining the success of species establishment and invasion in a new area. Studies on transcontinental invasions have revealed that invasive species perform better in the invasive range than in their native ranges. We assumed that the same regularity exists in intracontinental invasions and thus investigated whether the reproductive traits of Scotch broom, Cytisus scoparius, perform better in the alien invasive range in Europe compared to its native range in the same continent. The aim of this research was to reveal the potential and realised fecundity of C. scoparius in its native and invasive ranges, as well as relationships with the size of pods, habitat type, and how these traits vary at the same site in different years. The results of this study were not able to unambiguously confirm our hypothesis that C. scoparius in the invasive range in Lithuania, specifically in the southern part of the Boreal biogeographical region, outperform plants in the native range with regard to the analysed reproductive traits. Potential fecundity of C. scoparius in the native range was significantly higher than in the invaded range; however, realised fecundity was not significantly different between the native and invasive ranges. The pod length was similar in both ranges, whereas the pod width was significantly greater in the invasive range than in the native range. The results suggest that the number of ovules per pod, number of matured seeds, and the size of pods are related with the type of habitat and local environmental conditions in the habitat. Although many studies on other species have confirmed higher fecundity and overall better performance of plants in the invasive range than in the native range on other continents, this rule probably cannot be applied for intracontinental invasive species occurring in relatively close geographical regions to their native ranges.",,,,,,,,,0,0,0,0,0,0,0,,,2223-7747,,,MEDLINE:36015460,36015460,
J,"Melkonian, Remy; Moulin, Lionel; Bena, Gilles; Tisseyre, Pierre; Chaintreuil, Clemence; Heulin, Karine; Rezkallah, Naima; Klonowska, Agnieszka; Gonzalez, Sophie; Simon, Marcelo; Chen, Wen-Ming; James, Euan K; Laguerre, Gisele",,,,"Bena, Gilles/GOG-7902-2022; Gonzalez, Sophie/U-1674-2017; James, Euan K/K-1135-2012; Moulin, Lionel/C-2921-2008; Simon, Marcelo F./AAA-7161-2019","Gonzalez, Sophie/0000-0003-4109-2004; James, Euan K/0000-0001-7969-6570; Moulin, Lionel/0000-0001-9068-6912; Simon, Marcelo F./0000-0002-5732-1716; Klonowska, Agnieszka/0000-0003-3325-7980; Bena, Gilles/0000-0003-3080-8441; Gotty, Karine/0000-0002-1465-5644",,,The geographical patterns of symbiont diversity in the invasive legume Mimosa pudica can be explained by the competitiveness of its symbionts and by the host genotype.,,,,,,,,Environmental microbiology,,,,16,7,,,2099,111,,10.1111/1462-2920.12286,,,,2014-Jul,2014,"Variations in the patterns of diversity of symbionts have been described worldwide on Mimosa pudica, a pan-tropical invasive species that interacts with both alpha and beta-rhizobia. In this study, we investigated if symbiont competitiveness can explain these variations and the apparent prevalence of beta- over alpha-rhizobia. We developed an indirect method to measure the proportion of nodulation against a GFP reference strain and tested its reproducibility and efficiency. We estimated the competitiveness of 54 strains belonging to four species of beta-rhizobia and four of alpha-rhizobia, and the influence of the host genotype on their competitiveness. Our results were compared with biogeographical patterns of symbionts and host varieties. We found: (i) a strong strain effect on competitiveness largely explained by the rhizobial species, with Burkholderia phymatum being the most competitive species, followed by B.tuberum, whereas all other species shared similar and reduced levels of competitiveness; (ii) plant genotype can increase the competitiveness of Cupriavidus taiwanensis. The latter data support the likelihood of the strong adaptation of C.taiwanensis with the M.pudica var. unijuga and help explain its prevalence as a symbiont of this variety over Burkholderia species in some environments, most notably in Taiwan.",,,,,,,,,24,0,0,0,23,0,24,,,,1462-2920,,MEDLINE:24131520,24131520,
J,"McRoberts, N; Thomas, C S; Brown, J K; Nutter, F W; Stack, J P; Martyn, R D",,,,"McRoberts, Neil/E-7778-2012","McRoberts, Neil/0000-0001-6346-9461",,,The Evolution of a Process for Selecting and Prioritizing Plant Diseases for Recovery Plans.,,,,,,,,Plant disease,,,,100,4,,,665,671,,10.1094/PDIS-04-15-0457-FE,,,,2016-Apr,2016,"One element of the cost of dealing with invasive species in the United States is the recovery from the arrival of exotic plant pathogens. We review the development of a process used to prioritize plant diseases for the federally mandated United State Department of Agriculture National Plant Disease Recovery System. A team of university, government, and industry scientists worked together over a 10-year period to develop a science-based objective approach to the challenge of effectively preparing for recovery plans from introduced pathogens, when the timing of the introduction of any single disease is unknown. Over time, the process transitioned from ad hoc, in which recovery plans were written when the relevant experts were able to do so, to a formally organized group-prioritization effort from which emerged the concept of generic recovery plan templates for groups of pathogens and diseases that have similar biological characteristics, and therefore, similar management approaches. Key characteristics for each template were determined through a multivariate analysis for 14 plant diseases for which a recovery plan already existed. The process was validated by a larger group of 15 plant pathologists, for which results were compared with those scored by 14 subject matter experts.",,,,,,,,,4,0,0,0,4,0,4,,,0191-2917,,,MEDLINE:30688615,30688615,
J,"Le Roux, Johannes J; Hui, Cang; Keet, Jan-Hendrik; Ellis, Allan G",,,,"Hui, Cang/A-1781-2008; Ellis, Allan/H-1105-2011","Hui, Cang/0000-0002-3660-8160; Ellis, Allan/0000-0001-6310-2870; Keet, Jan-Hendrik/0000-0003-2610-9410; Le Roux, Johannes/0000-0001-7911-9810",,,Co-introduction vs ecological fitting as pathways to the establishment of effective mutualisms during biological invasions.,,,,,,,,The New phytologist,,,,215,4,,,1354,1360,,10.1111/nph.14593,,,,2017-Sep,2017,"Contents 1354 I. 1354 II. 1355 III. 1357 IV. 1357 V. 1359 1359 References 1359 SUMMARY: Interactions between non-native plants and their mutualists are often disrupted upon introduction to new environments. Using legume-rhizobium mutualistic interactions as an example, we discuss two pathways that can influence symbiotic associations in such situations: co-introduction of coevolved rhizobia; and utilization of, and adaptation to, resident rhizobia, hereafter referred to as 'ecological fitting'. Co-introduction and ecological fitting have distinct implications for successful legume invasions and their impacts. Under ecological fitting, initial impacts may be less severe and will accrue over longer periods as novel symbiotic associations and/or adaptations may require fine-tuning over time. Co-introduction will have more profound impacts that will accrue more rapidly as a result of positive feedbacks between densities of non-native rhizobia and their coevolved host plants, in turn enhancing competition between native and non-native rhizobia. Co-introduction can further impact invasion outcomes by the exchange of genetic material between native and non-native rhizobia, potentially resulting in decreased fitness of native legumes. A better understanding of the roles of these two pathways in the invasion dynamics of non-native legumes is much needed, and we highlight some of the exciting research avenues it presents.",,,,,,,,,30,0,1,0,31,0,32,,,,1469-8137,,MEDLINE:28771816,28771816,
J,"Rodriguez-Echeverria, Susana; Traveset, Anna",,,,"Traveset, Anna V/D-7802-2011; Rodriguez-Echeverria, Susana/I-1730-2015","Rodriguez-Echeverria, Susana/0000-0002-2058-3229",,,Putative linkages between below- and aboveground mutualisms during alien plant invasions.,,,,,,,,AoB PLANTS,,,,7,,,,,,,10.1093/aobpla/plv062,,,,2015 Jun 01,2015,"Evidence of the fundamental role of below-aboveground links in controlling ecosystem processes is mostly based on studies done with soil herbivores or mutualists and aboveground herbivores. Much less is known about the links between belowground and aboveground mutualisms, which have been studied separately for decades. It has not been until recently that these mutualisms-mycorrhizas and legume-rhizobia on one hand, and pollinators and seed dispersers on the other hand-have been found to influence each other, with potential ecological and evolutionary consequences. Here we review the mechanisms that may link these two-level mutualisms, mostly reported for native plant species, and make predictions about their relevance during alien plant invasions. We propose that alien plants establishing effective mutualisms with belowground microbes might improve their reproductive success through positive interactions between those mutualists and pollinators and seed dispersers. On the other hand, changes in the abundance and diversity of soil mutualists induced by invasion can also interfere with below-aboveground links for native plant species. We conclude that further research on this topic is needed in the field of invasion ecology as it can provide interesting clues on synergistic interactions and invasional meltdowns during alien plant invasions.",,,,,,,,,10,0,0,0,8,0,10,,,2041-2851,,,MEDLINE:26034049,26034049,
J,"De Meyer, Sofie E; Ruthrof, Katinka X; Edwards, Tom; Hopkins, Anna J M; Hardy, Giles; O'Hara, Graham; Howieson, John",,,,"Edwards, Tom/R-6585-2018","Edwards, Tom/0000-0003-1470-5098; De Meyer, Sofie/0000-0003-3555-7346; Hardy, Giles/0000-0001-7419-5064; Hopkins, Anna/0000-0001-8090-5544",,,Diversity of endemic rhizobia on Christmas Island: Implications for agriculture following phosphate mining.,,,,,,,,Systematic and applied microbiology,,,,41,6,,,641,649,,10.1016/j.syapm.2018.07.004,,,,2018-Nov,2018,"Given that phosphate supplies may diminish and become uneconomic to mine after 2020, there is a compelling need to develop alternative industries to support the population on Christmas Island. Former mine sites could be turned into productive agricultural land, however, large-scale commercial agriculture has never been attempted, and, given the uniqueness of the island, the diversity of rhizobia prior to introducing legumes needed evaluation. Therefore, 84 rhizobia isolates were obtained from nine different hosts, both crop and introduced legumes, located at seven sites across the island. Based on 16S rRNA and recA gene sequence analysis, the isolates grouped into 13 clades clustering within the genus Bradyrhizobium, Ensifer, Cupriavidus and Rhizobium. According to the sequences of their symbiosis genes nodC and nifH, the isolates were classified into 12 and 11 clades, respectively, and clustered closest to tropical or crop legume isolates. Moreover, the symbiosis gene phylogeny and Multi Locus Sequence Analysis gene phylogeny suggested vertical transmission in the Alpha-rhizobia but horizontal transmission within the Beta-rhizobia. Furthermore, this study provides evidence of a large diversity of endemic rhizobia associated with both crop and introduced legumes, and highlights the necessity of inoculation for common bean, chickpea and soybean on the Island.",,,,,,,,,5,0,0,0,4,0,5,,,,1618-0984,,MEDLINE:30145046,30145046,
