"STUDY_ID","REVIEWERS","INCLUDE","Publication.Type","Authors","Book.Authors","Group.Authors","Book.Group.Authors","Researcher.Ids","ORCIDs","Book.Editors","Author...Arabic","Article.Title","Article.Title...SciELO","Article.Title...SciELO.1","Article.Title...Chinese","Article.Title...Russian","Patent.Number","Patent.Assignee","Source.Title...Arabic","Source.Title","Source.Title...Korean","Book.Series.Title","Book.Series.Subtitle","Volume","Issue","Special.Issue","Meeting.Abstract","Start.Page","End.Page","Article.Number","DOI","Book.DOI","Early.Access.Date","Supplement","Publication.Date","Publication.Year","Abstract","Abstract...Foreign","Abstract...English.Transliteration","Abstract...Foreign.1","Abstract...Korean","Conference.Title","Conference.Date","Conference.Sponsor","Conference.Location","Times.Cited..WoS.Core","Times.Cited..CSCD.","Times.Cited..RSCI","Times.Cited..ARCI","Times.Cited..BCI","Times.Cited..SCIELO","Times.Cited..All.Databases","X180.Day.Usage.Count","Since.2013.Usage.Count","ISSN","eISSN","ISBN","UT..Unique.ID.","Pubmed.Id","X"
"1","Kathryn","YES","J","Liu, Xiaoyun; You, Shenghao; Liu, Huajie; Yuan, Baojuan; Wang, Haoyu; James, Euan K; Wang, Fang; Cao, Weidong; Liu, Zhong Kuan",NA,NA,NA,"","",NA,NA,"Diversity and Geographic Distribution of Microsymbionts Associated With Invasive Mimosa Species in Southern China.","",NA,NA,"",NA,NA,NA,"Frontiers in microbiology",NA,NA,NA,"11","",NA,NA,"563389","563389",NA,"10.3389/fmicb.2020.563389",NA,NA,NA,"2020","2020","In order to investigated diversity and geographic distribitution of rhizobia associated with invasive Mimosa species, Mimosa nodules and soils around the plants were sampled from five provinces in southern China. In total, 361 isolates were obtained from Mimosa pudica and Mimosa diplotricha in 25 locations. A multi-locus sequence analysis (MLSA) including 16S rRNA, atpD, dnaK, glnA, gyrB, and recA identified the isolates into eight genospecies corresponding to Paraburkhleria mimosarum, Paraburkholderia phymatum, Paraburkholeria carbensis, Cupriavidus taiwanensis, Cupriavidus sp., Rhizobium altiplani, Rhizobium mesoamericanum, and Rhizobium etli. The majority of the isolates were Cupriavidus (62.6%), followed by Paraburkholderia (33.5%) and Rhizobium (2.9%). Cupriavidus strains were more predominant in nodules of M. diplotricha (76.2) than in M. pudica (59.9%), and the distribution of P. phymatum in those two plant species was reverse (3.4:18.2%). Four symbiotypes were defined among the isolates based upon the phylogeny of nodA-nifH genes, represented by P. mimosarum, P. phymatum-P. caribensis, Cupriavidus spp., and Rhizobium spp. The species affiliation and the symbiotype division among the isolates demonstrated the multiple origins of Mimosa rhizobia in China: most were similar to those found in the original centers of Mimosa plants, but Cupriavidus sp. might have a local origin. The unbalanced distribution of symbionts between the two Mimosa species might be related to the soil pH, organic matter and available nitrogen; Cupriavidus spp. generally dominated most of the soils colonized by Mimosa in this study, but it had a particular preference for neutral-alkaline soils with low fertility whereas. While Paraburkholderia spp. preferred more acidic and fertile soils. The Rhizobium spp. tended to prefer neutral-acidic soils with high fertility soils.","",NA,NA,NA,NA,NA,NA,NA,"3","0","0","0","3","0","3",NA,NA,"1664-302X","",NA,"MEDLINE:33250864","33250864",NA
"3","Kathryn","NO","J","Paynter, Quentin; Paterson, Iain D; Kwong, Raelene M",NA,NA,NA,"","",NA,NA,"Predicting non-target impacts.","",NA,NA,"",NA,NA,NA,"Current opinion in insect science",NA,NA,NA,"38","",NA,NA,"79","83",NA,"10.1016/j.cois.2020.02.002",NA,NA,NA,"2020-04","2020","Biocontrol of invasive alien weeds has produced great benefits, but concerns over undesirable impacts on non-target plants and/or indirect interactions between biocontrol agents and other biota impede the implementation of biocontrol in some countries. Although great strides have been made, continuing uncertainties predicting the realized host range of candidate agents is probably resulting in some being erroneously rejected due to overestimation of risk. Further refinement of host-range testing protocols is therefore desirable. Indirect interactions are inherently harder to predict, and the risk of both direct and indirect non-target impacts may change over time due to biocontrol agents evolving or expanding their range under climate change. Future research directions to better understand the risk of non-target impacts over time are discussed.","",NA,NA,NA,NA,NA,NA,NA,"11","0","0","0","11","0","11",NA,NA,"","2214-5753",NA,"MEDLINE:32240966","32240966",NA
"11","Kathryn","YES","J","Cheng, Dandan; Tian, Zhongsai; Feng, Liang; Xu, Lin; Wang, Hongmei",NA,NA,NA,"","Cheng, Dandan/0000-0002-4926-4424",NA,NA,"Diversity analysis of the rhizospheric and endophytic bacterial communities of Senecio vulgaris L. (Asteraceae) in an invasive range.","",NA,NA,"",NA,NA,NA,"PeerJ",NA,NA,NA,"6","",NA,NA,"e6162","e6162",NA,"10.7717/peerj.6162",NA,NA,NA,"2019","2019","Increasing evidence has confirmed the importance of plant-associated bacteria for plant growth and productivity, and thus it is hypothesized that interactions between bacteria and alien plants might play an important role in plant invasions. However, the diversity of the bacterial communities associated with invasive plants is poorly understood. We therefore investigated the diversity of rhizospheric and endophytic bacteria associated with the invasive annual plant Senecio vulgaris L. (Asteraceae) based on 16S rRNA gene data obtained from 57 samples of four Senecio vulgaris populations in a subtropical mountainous area in central China. Significant differences in diversity were observed between plant compartments. Specifically, the rhizosphere harbored many more bacterial operational taxonomic units and showed higher alpha diversity than the leaf and root endospheres. The relative abundance profiles of the bacterial community composition differed substantially between the compartments and populations, especially at the phylum and family levels. However, the top five phyla (Proteobacteria, Firmicutes, Bacteroidetes, Actinobacteria, and Acidobacteria) accounted for more than 90% of all the bacterial communities. Moreover, similar endophytic communities with a shared core set of bacteria were observed from different Senecio vulgaris populations. Heavy-metal-resistant, phosphate-solubilizing bacteria (Brevundimonas diminuta), nitrogen-fixing bacteria (Rhizobium leguminosarum), and cold-resistant bacteria (Exiguobacterium sibiricum) were present in the endosphere at relatively high abundance. This study, which reveals the structure of bacterial communities and their putative function in invasive Senecio vulgaris plants, is the first step in investigating the role of plant-bacteria interactions in the invasion of this species in China.","",NA,NA,NA,NA,NA,NA,NA,"9","1","0","0","5","1","11",NA,NA,"2167-8359","",NA,"MEDLINE:30643678","30643678",NA
"12","Kathryn","YES","J","Klock, Metha M; Barrett, Luke G; Thrall, Peter H; Harms, Kyle E",NA,NA,NA,"Barrett, Luke G/I-5711-2015","Barrett, Luke G/0000-0001-6530-0731",NA,NA,"Differential plant invasiveness is not always driven by host promiscuity with bacterial symbionts.","",NA,NA,"",NA,NA,NA,"AoB PLANTS",NA,NA,NA,"8","",NA,NA,"","",NA,"10.1093/aobpla/plw060",NA,NA,NA,"2016 Sep 11","2016","Identification of mechanisms that allow some species to outcompete others is a fundamental goal in ecology and invasive species management. One useful approach is to examine congeners varying in invasiveness in a comparative framework across native and invaded ranges. Acacia species have been widely introduced outside their native range of Australia, and a subset of these species have become invasive in multiple parts of the world. Within specific regions, the invasive status of these species varies. Our study examined whether a key mechanism in the life history of Acacia species, the legume-rhizobia symbiosis, influences acacia invasiveness on a regional scale. To assess the extent to which species varying in invasiveness correspondingly differ with regard to the diversity of rhizobia they associate with, we grew seven Acacia species ranging in invasiveness in California in multiple soils from both their native (Australia) and introduced (California) ranges. In particular, the aim was to determine whether more invasive species formed symbioses with a wider diversity of rhizobial strains (i.e. are more promiscuous hosts). We measured and compared plant performance, including aboveground biomass, survival, and nodulation response, as well as rhizobial community composition and richness. Host promiscuity did not differ among invasiveness categories. Acacia species that varied in invasiveness differed in aboveground biomass for only one soil and did not differ in survival or nodulation within individual soils. In addition, acacias did not differ in rhizobial richness among invasiveness categories. However, nodulation differed between regions and was generally higher in the native than introduced range. Our results suggest that all Acacia species introduced to California are promiscuous hosts and that host promiscuity per se does not explain the observed differences in invasiveness within this region. Our study also highlights the utility of assessing potential mechanisms of invasion in species' native and introduced ranges.","",NA,NA,NA,NA,NA,NA,NA,"8","0","0","0","6","0","8",NA,NA,"2041-2851","",NA,"MEDLINE:27535176","27535176",NA
"14","Kathryn","YES","J","Chouhan, Bhawana; Tak, Nisha; Bissa, Garima; Adhikari, Dibyendu; Barik, Saroj K; Sprent, Janet I; James, Euan K; Jha, Shweta; Gehlot, Hukam S",NA,NA,NA,"; James, Euan/K-1135-2012","Barik, Saroj Kanta/0000-0002-1795-9539; Adhikari, Dibyendu/0000-0002-5057-0541; Tak, Nisha/0000-0002-3097-4119; James, Euan/0000-0001-7969-6570",NA,NA,"Evolution of novel strains of Ensifer nodulating the invasive legume Leucaena leucocephala (Lam.) de Wit in different climatic regions of India through lateral gene transfer.","",NA,NA,"",NA,NA,NA,"FEMS microbiology ecology",NA,NA,NA,"98","9",NA,NA,"","",NA,"10.1093/femsec/fiac086",NA,NA,NA,"2022-08-26","2022","More than 200 root-nodule bacterial strains were isolated from Leucaena leucocephala growing at 42 sampling sites across 12 states and three union territories of India. Genetic diversity was observed among 114 strains from various climatic zones; based on recA, these were identified as strains of Ensifer, Mesorhizobium, Rhizobium, and Bradyrhizobium. In multilocus sequence analysis (MLSA) strains clustered into several novel clades and lineages. Ensifer were predominant nodulating genotype isolated from majority of alkaline soils, while Mesorhizobium and Rhizobium strains were isolated from a limited sampling in North-Eastern states with acidic soils. Positive nodulation assays of selected Ensifer representing different genetic combinations of housekeeping and sym genes suggested their broad host range within the closely related mimosoid genera Vachellia, Senegalia, Mimosa, and Prosopis. Leucaena selected diverse strains of Ensifer and Mesorhizobium as symbionts depending on available soil pH, climatic, and other edaphic conditions in India. Lateral gene transfer seems to play a major role in genetic diversification of Ensifer exhibited in terms of Old World vs. Neotropical genetic make-up and mixed populations at several sites. Although Neotropical Ensifer strains were most symbiotically effective on Leucaena, the native Ensifer are promiscuous and particularly well-adapted to a wide range of sampling sites with varied climates and edaphic factors.","",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0",NA,NA,"","1574-6941",NA,"MEDLINE:35833268","35833268",NA
"18","Kathryn","NO","J","Ndabankulu, Khululwa; Tsvuura, Zivanai; Magadlela, Anathi",NA,NA,NA,"","",NA,NA,"Alien invasive Leucaena leucocephala successfully acquires nutrients by investing in below-ground biomass compared to native Vachellia nilotica in nutrient-amended soils in South Africa.","",NA,NA,"",NA,NA,NA,"AoB PLANTS",NA,NA,NA,"14","3",NA,NA,"plac026","plac026",NA,"10.1093/aobpla/plac026",NA,NA,NA,"2022-Jun","2022","Soils in grasslands and savannas of southern Africa are acidic and nutrient-poor. Legume plants, such as Vachellia nilotica and alien invasive Leucaena leucocephala, are a major component of the vegetation there. Vachellia nilotica can establish in drought-prone environments, and is invasive in high rainfall areas. Leucaena leucocephala is an emerging invasive in South Africa and is ranked among the world's 100 most invasive alien species. Alien plants can invade native habitats through their adaptability to low-resource soils, and thus can out-compete and displace native vegetation. We investigated the effects of phosphorus (P) deficiency and soil acidity on legume-microbe symbiosis, nitrogen (N) nutrition and carbon (C) growth costs of these two legumes in grassland soils. We used as inoculum and growth substrate soils collected from a long-term (>65 years) nutrient and lime-addition trial, the Veld Fertilizer Trial (VFT), located at Ukulinga Research Farm near Pietermaritzburg in South Africa. We used soils from three VFT treatments: soils fertilized with superphosphate (336 kg ha-1) applied once per year (+P), soils fertilized with superphosphate (336 kg ha-1) applied once per year with dolomitic lime (2250 kg ha-1) applied once every 5 years (P+L) and soils with no superphosphate and no dolomitic lime applications (Control). Seeds of V. nilotica and L. leucocephala were germinated and grown independently in these soils in green house conditions and harvested after 125 days for measurement of growth, legume-microbe symbiosis, N nutrition and C growth costs. Results showed that the two legumes had different growth adaptations. Vachellia nilotica grown in control soils and +P soils nodulated with various Burkholderia spp., while L. leucocephala did not nodulate in all soil treatments. Both legumes utilized for growth both atmospheric- and soil-derived N across all treatments thereby decreasing C growth costs. Vachellia nilotica grown in +P soils accumulated the most biomass and N nutrition. Leucaena leucocephala maximized specific N assimilation rates by investing in below-ground biomass accumulation in control soils. This shows that L. leucocephala possesses traits that are successful in acquiring nutrients by investing in below-ground biomass and relying on utilization of N from both the soil and the atmosphere.","",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0",NA,NA,"2041-2851","",NA,"MEDLINE:35747246","35747246",NA
"19","Kathryn","NO","J","Wu, Zijun; Kong, Zhaoyu; Lu, Shina; Huang, Cheng; Huang, Shaoyi; He, Yinghui; Wu, Lan",NA,NA,NA,"","",NA,NA,"Isolation, characterization and the effect of indigenous heavy metal-resistant plant growth-promoting bacteria on sorghum grown in acid mine drainage polluted soils.","",NA,NA,"",NA,NA,NA,"The Journal of general and applied microbiology",NA,NA,NA,"65","5",NA,NA,"254","264",NA,"10.2323/jgam.2018.11.004",NA,NA,NA,"2019-Dec-19","2019","The research purpose was the characterization of indigenous heavy metal-resistant plant growth-promoting bacteria (PGPB) from the farmlands located on the Le'an River basin contaminated by acid mine drainage and their effects on plant growth, nutrient uptake, antioxidant enzyme activities and metal accumulation. The plant growth-promoting (PGP) traits, including 1-aminocyclopropane-1-carboxylic acid deaminase, indoleacetic acid, siderophore, ammonia production and phosphate solubilization, as well as antibiotics, acid/alkali and salt resistance were determined. Ten isolates with relatively high PGP activities were identified to belong to the genera Burkholderia, Paraburkholderia, Cupriavidus, Pseudomonas and Ralstonia. The numerical classification based on bacterial resistant characteristics was mostly consistent with their phylogenetic positions. Burkholderia sp. strain S6-1 and Pseudomonas sp. strain S2-3 possessed both greater PGP activities and resistant characteristics in overall comparison. Compared with non-inoculated plants, strains S6-1 and S2-3 significantly increased the height, dry weight and N uptake of sorghum (Sorghum bicolor L.). The presence of S6-1 significantly increased Pb accumulation and enhanced the translocation of Zn from root to shoot in sorghum. Strain S2-3 helped sorghum to uptake Cu and Zn and improved the remediation effect of sorghum on Cu and Zn. Overall, indigenous PGPB did not show better advantages in improving plant growth than non-indigenous P. putida UW4. Nevertheless, indigenous PGPB can be used as better candidates in heavy metal phytoremediation to minimize the potential risks of introducing invasive microbial species into an agricultural ecosystem.","",NA,NA,NA,NA,NA,NA,NA,"12","1","0","0","10","0","13",NA,NA,"","1349-8037",NA,"MEDLINE:31243191","31243191",NA
"21","Kathryn","NO","J","Ribeiro, Pamella C D; Menendez, Esther; da Silva, Danielle L; Bonieck, Douglas; Ramirez-Bahena, Martha Helena; Resende-Stoianoff, Maria Aparecida; Peix, Alvaro; Velazquez, Encarna; Mateos, Pedro F; Scotti, Maria Rita",NA,NA,NA,"Mateos, Pedro/L-6001-2014; Ramirez-Bahena, Martha Helena/ABB-3717-2021; Boniek, Douglas/B-1674-2018; Ramirez-Bahena, Martha Helena/B-8564-2017; Menendez, Esther/S-3387-2016; Velazquez, Encarna/B-3669-2017; Peix, Alvaro/A-7196-2010","Mateos, Pedro/0000-0003-1628-598X; Ramirez-Bahena, Martha Helena/0000-0002-0744-8313; Menendez, Esther/0000-0003-2320-0067; Velazquez, Encarna/0000-0002-5946-7241; Peix, Alvaro/0000-0001-5084-1586; Resende Stoianoff, Maria Aparecida/0000-0002-6220-1321; Silva, Danielle Leticia/0000-0002-1447-6670; Boniek, Douglas/0000-0001-6923-7143",NA,NA,"Invasion of the Brazilian campo rupestre by the exotic grass Melinis minutiflora is driven by the high soil N availability and changes in the N cycle.","",NA,NA,"",NA,NA,NA,"The Science of the total environment",NA,NA,NA,"577","",NA,NA,"202","211",NA,"10.1016/j.scitotenv.2016.10.162",NA,NA,NA,"2017-Jan-15","2017","The Serra do Rola Moca State Park (PESRM) in Minas Gerais State, Brazil is a preserved site representative of the campo rupestre biome over an ironstone outcrop that has a high level of plant diversity. Almost 60% of this grassy field has been invaded by the exotic molasses grass (Melinis minutiflora), which constitutes a severe threat to the biodiversity and survival of this biome, particularly due to the impacts of annual fires and inappropriate restoration interventions. Many invasive species exhibit a high demand for nitrogen (N). Hence, this work aimed to study the N cycle alterations promoted by M. minutiflora in a site of the campo rupestre, where the leguminous species Mimosa pogocephala was prevalent. The biome's soils exhibited a high natural N fertility and low C:N ratio. The main N source in this biome resulted from the biological N fixation performed by M. pogocephala associated with Burkholderia nodosa, as evidenced by the total leaf N content, leaf delta15N signature, nodule occupation and bacterial molecular identification analyses. The displacement of native species by molasses grass was associated with changes in the soil N forms, namely the nitrate increased as the ammonium decreased. The latter was the dominant N form in the native species plots, as observed in the soil analysis of total N, ammonium and nitrate contents. The dominant ammonium form was changed to the nitric form by the stimulation of ammonia-oxidising bacteria populations due to the invasive species. Therefore, the key mechanism behind the invasiveness of the exotic grass and the concomitant displacement of the native species may be associated with changes in the soil N chemical species. Based on this finding and on the high N-based soil fertility found in the campo rupestre N fertilisation procedures for restoration of invaded areas should be strictly avoided in this biome.","",NA,NA,NA,NA,NA,NA,NA,"13","1","0","0","11","2","14",NA,NA,"","1879-1026",NA,"MEDLINE:27823824","27823824",NA
"24","Kathryn","YES","J","Le Roux, Johannes J; Mavengere, Natasha R; Ellis, Allan G",NA,NA,NA,"; Ellis, Allan/H-1105-2011","Le Roux, Johannes/0000-0001-7911-9810; MAVENGERE, NATASHA/0000-0003-0863-9717; Ellis, Allan/0000-0001-6310-2870",NA,NA,"The structure of legume-rhizobium interaction networks and their response to tree invasions.","",NA,NA,"",NA,NA,NA,"AoB PLANTS",NA,NA,NA,"8","",NA,NA,"","",NA,"10.1093/aobpla/plw038",NA,NA,NA,"2016 Jul 11","2016","Establishing mutualistic interactions in novel environments is important for the successful establishment of some non-native plant species. These associations may, in turn, impact native species interaction networks as non-natives become dominant in their new environments. Using phylogenetic and ecological interaction network approaches we provide the first report of the structure of belowground legume-rhizobium interaction networks and how they change along a gradient of invasion (uninvaded, semi invaded and heavily invaded sites) by Australian Acacia species in South Africa's Cape Floristic Region. We found that native and invasive legumes interact with distinct rhizobial lineages, most likely due to phylogenetic uniqueness of native and invasive host plants. Moreover, legume-rhizobium interaction networks are not nested, but significantly modular with high levels of specialization possibly as a result of legume-rhizobium co-evolution. Although network topology remained constant across the invasion gradient, composition of bacterial communities associated with native legumes changed dramatically as acacias increasingly dominated the landscape. In stark contrast to aboveground interaction networks (e.g. pollination and seed dispersal) we show that invasive legumes do not infiltrate existing native legume-rhizobium networks but rather form novel modules. This absence of mutualist overlap between native and invasive legumes suggests the importance of co-invading rhizobium-acacia species complexes for Acacia invasion success, and argues against a ubiquitous role for the formation and evolutionary refinement of novel interactions.","",NA,NA,NA,NA,NA,NA,NA,"26","0","0","0","26","0","26",NA,NA,"2041-2851","",NA,"MEDLINE:27255514","27255514",NA
"25","Kathryn","maybe","J","Hassen, Ahmed Idris; Lamprecht, Sandra C; Bopape, Francina L",NA,NA,NA,"Hassen, Ahmed Idris/GMW-9345-2022","Hassen, Ahmed Idris/0000-0001-6925-9166",NA,NA,"Emergence of beta-rhizobia as new root nodulating bacteria in legumes and current status of the legume-rhizobium host specificity dogma.","",NA,NA,"",NA,NA,NA,"World journal of microbiology & biotechnology",NA,NA,NA,"36","3",NA,NA,"40","40",NA,"10.1007/s11274-020-2811-x",NA,NA,NA,"2020 Feb 24","2020","Recent developments in the legume rhizobium symbiotic interaction particularly those related to the emergence of novel strains of bacteria that nodulate and fix nitrogen in legumes is gaining momentum. These novel strains of bacteria were mostly isolated from the root nodules of indigenous and invasive legumes belonging to the sub families Papilionoideae and Mimosoideae in South Africa, South America and South East China. These rhizobia are phylogenetically and taxonomically different from the traditional 'alpha rhizobia' and are termed 'beta-rhizobia' as they belong to the beta-sub class of Proteobacteria. There are also new reports of novel species of root nodulating bacteria from the alpha-Proteobacteria, not known for several decades since the discovery of rhizobia. However, in this review focus is given to the emerging beta-rhizobia isolated from the indigenous Papilionoid legumes in the Cape Floristic regions in South Africa and the indigenous and invasive Mimosoid legumes in South America and South East Asia respectively. The nodulation of the indigenous South African Papilionoid legumes including that of Aspalathus linearis (rooibos) is discussed in a bit detail. Previous reports indicated that A. linearis is very specific in its rhizobium requirement and was reported to be nodulated by the slow growing Bradyrhizobium spp. This review however summarizes that the bacteria associated with the root nodules of A. linearis belong to members of both the alpha (alpha) Proteobacteria that include Mesorhizobium, Rhizobium and Bradyrhizobium spp. and the beta (beta) Proteobacteria represented by the genus Burkholderia (now reclassified as Paraburkholderia). In addition, the occurrence of Paraburkholderia as the newly emerging root nodule symbionts of various other legumes has been discussed. In doing so, the review highlights that nodulation is no longer restricted to the traditional 'rhizobia' group following the emergence of the new beta rhizobia as potential nodulators of various indigenous legumes. It thus provides some insights on the status of the legume-rhizobium host specificity concept and the loss of this specificity in several symbiotic associations that puts the long held dogma of host specificity of the legume rhizobium symbiosis in a dilemma.","",NA,NA,NA,NA,NA,NA,NA,"4","0","0","0","3","0","4",NA,NA,"","1573-0972",NA,"MEDLINE:32095903","32095903",NA
