paper_id,author,title,year,journal,volume,issue,pages,notes
1,Abaidoo et al,Bradyrhizobium spp. (TGx) isolates nodulating the new soybean cultivars in Africa are diverse and distinct from bradyrhizobia that nodulate North American soybeans,2000,International Journal of Systematic and Evolutionary Microbiology,50,,225-234,
2,Abi-Ghanem et al,Diversity of Rhizobium leguminosarum from pea fields in Washington state,2013,International Scholarly Research Notices: Soil Science,,,7,
3,Acosta-Duran and Martinez-Romero,"Diversity of rhizobia from nodules of the leguminous tree Gliricidia sepium, a natural host of Rhizobium tropici",2002,Archives of Microbiology,178,,161-164,
4,Adhikari et al,Genetic diversity of soybean-nodulating rhizobia in Nepal in relation to climate and soil properties,2012,Plant and Soil,357,,131-145,
5,Aguilar et al,The diversity of rhizobia nodulating beans in Northwest Argentina as a source of more efficient inoculant strains,2001,Journal of Biotechnology,91,,181-188,
6,Aguilar et al,Phylogeny and nodulation signal molecule of rhizobial populations able to nodulate common beansÑother than the predominant species Rhizobium etliÑpresent in soils from the northwest of Argentina,2006,Soil Biology and Biochemistry,38,,573-586,
7,Ahnia et al,Cytisus villosus from Northeastern Algeria is nodulated by genetically diverse Bradyrhizobium strains,2014,Antonie van Leeuwenhoek,105,,1121-1129,also checks nodulation of rhizobia on other plants
8,Alberton et al,Sampling effects on the assessment of genetic diversiy of rhizobia associated with soybean and common bean,2006,Soil Biology and Biochemistry,38,,1298-1307,
9,Alexandre et al,Survey of chickpea rhizobia diversity in Portugal reveals the predominace of species distinct from Mesorhizobium ciceri and Mesorhizobium mediterraneum,2009,Microbial Ecology,58,,930-941,
10,Alvarez-Martinez et al,The analysis of core and symbiotic genes of rhizobia nodulating Vicia from diVerent continents reveals their common phylogenetic origin and suggests the distribution of Rhizobium leguminosarum strains together with Vicia seeds,2009,Archives of Microbiology,191,,659-668,compared to reference strains from other continents
11,Amarger et al,Rhizobium gallicum sp nov and Rhizobium giardinii sp nov from Phaseolus vulvaris nodules,1997,International Journal of Systematic Bacteriology,47,4,996-1006,
12,Ampomah and Huss-Danell,Genetic diversity of root nodule bacteria nodulating Lotus corniculatus and Anthyllis vulneraria in Sweden,2011,Systematic and Applied Microbiology,34,,267-275,
13,Ampomah and Huss-Danell,"Nodulation of Thermopsis lupinoides by a Mesorhizobium huakuii Strain with a Unique nodA Gene in Kamtchatka, Russia",2011,Applied and Environmental Microbiology,77,15,5513-5516,also checks nodulation of rhizobia on other plants
14,Ampomah et al,"Host range, symbiotic effectiveness and nodulation competitiveness of some indigenous cowpea bradyrhizobia isolates from the transitional savanna zone of Ghana",2008,African Journal of Biotechnology,7,8,988-996,
15,Anda et al,Isolation and Genetic Characterization of Aurantimonas and Methylobacterium Strains from Stems of Hypernodulated Soybeans,2011,Microbes and Environments,26,2,172-180,
16,Andam and Parker,Novel Alphaproteobacterial Root Nodule Symbiont Associated with Lupinus texensis,2007,Applied and Environmental Microbiology,73,17,5687-5691,
17,Andam and Parker,Origins of Bradyrhizobium nodule symbionts from two legume trees in the Philippines,2008,Journal of Biogeography,35,,1030-1039,compared to reference strains from other continents
18,Andam et al,Monophyly of nodA and nifH Genes across Texan and Costa Rican Populations of Cupriavidus Nodule Symbionts,2007,Applied and Environmental Microbiology,73,14,4686-4690,compared to reference strains from other continents
19,Andrade et al,The Diversity of Phaseolus-Nodulating Rhizobial Populations Is Altered by Liming of Acid Soils Planted with Phaseolus vulgaris L. in Brazil,2002,Applied and Environmental Microbiology,68,8,4025-4034,
20,Andronov et al,Genetic diversity of a natural population of Sinorhizobium meliloti Revealed in Analysis of Cryptic Plasmids and ISRm2011-2 Fingerprints,2001,Russian Journal of Genetics,37,5,494-499,
21,Andronov et al,Symbiotic and Genetic Diversity of Rhizobium galegae Isolates Collected from the Galega orientalis Gene Center in the Caucasus,2003,Applied and Environmental Microbiology,69,2,1067-1074,
22,Andrus et al,American origin of Cupriavidus bacteria associated with invasive Mimosa legumes in the Philippines,2012,FEMS Microbiology Ecology,80,,747-750,home and away
23,Aoki et al,Genotypic and phenotypic diversity of rhizobia isolated from Lathyrus japonicus indigenous to Japan,2010,Systematic and Applied Microbiology,33,,383-397,
24,Crisostomo et al,"Co-introduction of exotic rhizobia to the rhizosphere of the invasive legume Acacia saligna, an intercontinental study",2013,Applied Soil Ecology,64,,118-126,native and invasive;  compared to reference strains from other continents
25,Armas-Capote et al,"Core and symbiotic genes reveal nine Mesorhizobium genospecies and three symbiotic lineages among the rhizobia nodulating Cicer canariense in its natural habitat (La Palma, Canary Islands)",2013,Systematic and Applied Microbiology,37,2,140-148,
26,Aserse et al,"Phylogenetically diverse groups of Bradyrhizobium isolated from nodules of Crotalaria spp., Indigofera spp., Erythrina brucei and Glycine max growing in Ethiopia",2012,Molecular Phylogenetics and Evolution,65,,595-609,compared to reference strains from other continents
27,Arense et al,"Diversity of sporadic symbionts and nonsymbiotic endophytic bacteria isolated from nodules of woody, shrub, and food legumes in Ethiopia",2013,Applied Microbiology and Biotechnology,97,,10117-10134,
28,Ba et al,Symbiotic and Taxonomic Diversity of Rhizobia Isolated from Acacia tortilis subsp. raddiana in Africa,2002,Systematic and Applied Microbiology,25,,130-145,also checks nodulation of rhizobia on other plants
29,Badri et al,Comparison of rhizobia that nodulate Medicago laciniata and Medicago truncatula present in a single Tunisian arid soil,2007,Canadian Journal of Microbiology,53,,277-283,also checks nodulation of rhizobia on other plants
30,Baimiev et al,Bacteria Closely Related to Phyllobacterium trifolii According to Their 16S rRNA Gene Are Discovered in the Nodules of Hungarian Sainfoin,2007,Russian Journal of Genetics,43,5,587-590,
31,Baimiev et al,Phylogeny and Genetic Diversity of the Astragalus cicer Root Nodule Bacterial Symbionts,2007,Microbiology,76,1,115-117,
32,Bakhoum et al,Distribution and Diversity of Rhizobial Populations Associated with Acacia senegal (L.) Willd. Provenances in Senegalese Arid and Semiarid Regions,2014,Open Journal of Forestry,4,2,136-143,
33,Bala et al,Occurrence and genetic diversity of rhizobia nodulating Sesbania sesban in African soils,2002,Soil Biology and Biochemistry,34,,1759-1768,
34,Barauna et al,Diversity and nitrogen fixation efficiency of rhizobia isolated from nodules of Centrolobium paraense,2014,Brasilia,49,4,296-305,
35,Barrett and Parker,"Prevalence of Burkholderia sp. nodule symbionts on four mimosoid legumes from Barro Colorado Island, Panama",2005,Systematic and Applied Microbiology,28,,57-65,
36,Barrett and Parker,"Coexistence of Burkholderia, Cupriavidus, and Rhizobium sp. Nodule Bacteria on two Mimosa spp. in Costa Rica",2006,Applied and Environmental Microbiology,72,2,1198-1206,
37,Batista et al,Diversity and phylogeny of rhizobial strains isolated from Lotus uliginosus grown in Uruguayan soils,2013,Applied Soil Ecology,66,,19-28,
38,Baymiev et al,Influence of the Introduction of Caragana arborescens on the Composition of Its Root Nodule Bacteria,2010,Microbiology,79,1,115-120,
39,Benata et al,Diversity of bacteria that nodulate Prosopis juliflora in the eastern area of Morocco,2008,Systematic and Applied Microbiology,31,,378-386,
40,Beukes et al,South African Papilionoid Legumes Are Nodulated by Diverse Burkholderia with Unique Nodulation and Nitrogen-Fixation Loci,2013,PLoS ONE,8,7,e68406,compared to reference strains from other continents
41,Beyhaut et al,Rhizobium giardinii is the microsymbiont of Illinois bundleflower (Desmanthus illinoensis (Michx.) Macmillan) in midwestern prairies,2006,Canadian Journal of Microbiology,52,,903-907,also checks nodulation of rhizobia on other plants
42,Bianco et al,Diversity and Symbiotic Effectiveness of Indigenous Rhizobia-Nodulating Adesmia bicolor in Soils of Central Argentina,2013,Current Microbiology,66,,174-184,
43,Blanco et al,Characterization of rhizobia from Sesbania species native to seasonally wetland areas in Uruguay,2008,Biology and Fertility of Soils,44,,925-932,also checks nodulation of rhizobia on other plants
44,Bottomley et al,Genetic Structure and Symbiotic Characteristics of a Bradyrhizobium Population Recovered from a Pasture Soil,1994,Applied and Environmental Microbiology,60,6,1754-1761,also checks nodulation of rhizobia on other plants
45,Boudiaf et al,"Soil Bradyrhizobium population response to invasion of a natural Quercus suber forest by the introduced nitrogen-fixing tree Acacia mearnsii in El Kala National Park, Algeria",2014,Soil Biology and Biochemistry,70,,162-165,examines rhizobial communities across an invasion gradient
46,Boukhatem et al,Symbiotic characterization and diversity of rhizobia associated with native and introduced acacias in arid and semi-arid regions in Algeria,2012,FEMS Microbiology Ecology,80,,534-547,native and invasive
47,Bournaud et al,Burkholderia Species Are the Most Common and Preferred Nodulating Symbionts of the Piptadenia Group (Tribe Mimoseae),2013,PLoS ONE,8,5,e63478,
48,Callaway et al,Effects of soil biota from different ranges on Robinia invasion: acquiring mutualists and escaping pathogens,2011,Ecology,92,5,1027-1035,home and away
49,Chen et al,Proof that Burkholderia Strains Form Effective Symbioses with Legumes: a Study of Novel Mimosa-Nodulating Strains from South America,2005,Applied and Environmental Microbiology,71,11,7461-7471,
50,Chen et al,"Burkholderia mimosarum sp. nov., isolated from root nodules of Mimosa spp. from Taiwan and South America",2006,International Journal of Systematic and Evolutionary Microbiology,56,,1847-1851,home and away
51,Gehlot et al,An invasive Mimosa in India does not adopt the symbionts of its native relatives,2013,Annals of Botany,112,,179-196,native and invasive
52,Hassen et al,Nodulation Study and Characterization of Rhizobial Microsymbionts of Forage and Pasture Legumes in South Africa,2014,World Journal of Agricultural Research,2,3,93-100,
53,Haukka etal,Three Phylogenetic Groups of nodA and nifH Genes in Sinorhizobium and Mesorhizobium Isolates from Leguminous Trees Growing in Africa and Latin America,1998,Applied and Environmental Microbiology,64,2,419-426,home and away
54,Chahboune et al,Characterization of Bradyrhizobium species isolated from root nodules of Cytisus villosus grown in Morocco,2011,Systematic and Applied Microbiology,34,,440-445,
55,Arun and Sridhar,Symbiotic perfpermance of fast-growing rhizobia isolated from the costay sand dune legumes of west coast of India,2004,Biology and Fertility of Soils,40,,435-439,genetic diversity not assessed
56,Bejarano et al,Vigna unguiculata is nodulated in Spain by endosymbionts of Genisteae legumes and by a new symbiovar (vignae) of the genus Bradyrhizobium,2014,Systematic and Applied Microbiology,37,7,533-540,
57,Bernal et al,Characteristics of rhizobia nodulating beans in the central region of Minnesota,2004,Canadian Journal of Microbiology,50,,1023-1031,agricultural?
58,Brigido et al,Moderately acidophilic mesorhizobia isolated from chickpea,2006,Applied Microbiology,44,,168-174,
59,Bromfield et al,"Ensifer, Phyllobacterium and Rhizobium species occupy nodules of medicago sativa (alfalfa) and Melilotus alba (sweet clover) grown at a Canadian site without history of cultivation",2010,Microbiology,156,,505-520,
60,Chahboune et al,"Bradyrhizobium cytisi sp. nov., isolated from effective nodules of Cytisus villosus",2011,International Journal of Systematic and Evolutionary Microbiology,61,,2922-2927,
61,Chen et al,"Characteristics of rhizobium tianshanense sp. nov., a moderately and slowly growing root nodule bacterium isolated from an arid saline environment in Xinjiang, people's republic of china",1995,International Journal of Systematic Bacteriology,45,1,153-159,
62,Chen et al,"Ralstonia taiwanesis sp. nov., isolated from root nodules of Mimosa species and sputum of cystic fibrosis patient",2001,International Journal of Systematic and Evolutionary Microbiology,51,,1729-1735,
63,Chen et al,"_-Rhizobia from Mimosa pigra, a newly discovered invasive plant in Taiwan",2005,New Phytologists,168,,661-675,
64,Chen et al,"Burkholderia nodosa sp. Nov., isolated from root nodules of the woody Brazilian legumes Mimosa bimucronata and Mimosa scabrella",2007,International Journal of Systematic and Evolutionary Microbiology,57,,1055-1059,
65,Chen et al,"Burkholderia sabiae sp. nov., isolated from root nodules of Mimosa caesalpiniifolia",2008,International Journal of Systematic and Evolutionary Microbiology,58,,2174-2179,
66,Chen et al,Different Mesorhizobium species associated with Caragana carry similar symbiotic genes and have common host ranges,2008,FEMS Microbiology Letters,283,,203-209,
67,Chen et al,Diverse nodule bacteria were associated with Astragalus species in arid region of northwestern China,2013,Journal of Basic Microbiology,53,,9-Jan,
68,Chen et al,"Mesorhizobium alhagi sp. nov., isolated from wild Alhagi sparsifolia in north-western China",2010,International Journal of Systematic and Evolutionary Microbiology,60,,985-962,
69,Chen et al,Wild peanut Arachis duranensis are nodulated by diverse and novel Bradyrhizobium species in acid soils,2014,Systematic and Applied Microbiology,37,7,525-532,
70,Chou et al,"Labrys neptuniae sp. nov., isolated from root nodules of the aquatic legume Neptunia oleracea",2007,International Journal of Systematic and Evolutionary Microbiology,57,,577-581,
71,Cobo-Diaz et al,The endemic Genista versicolor from Sierra Nevada National Park in Spain is nodulated by putative new Bradyrhizobium species and a novel sybiovar (sierranevadense),2013,Systematic and Applied Microbiology,37,3,177-185,
72,da Silva et al,Cupriavidus necator isolates are able to fix nitrogen in symbiosis with different legume species,2012,Systematic and Applied Microbiology,35,,175-182,
73,da Silva et al,"Bradyrhizobium ingae sp. nov., isolated from effective nodules of Igna laurina grown in Cerrado soil of Amazonia, Brazil",2014,International Journal of Systematic and Evolutionary Microbiology,64,,3395-3401,
74,Dai et al,"Genetic diversity and phylogeny of rhizobia isolated from Caragana microphylla growing in desert soil in Ningxia, China",2012,Genetics and Molecular Research,11,3,2683-2693,
75,de Freitas et al,Characteristics of nodule bacteria from Mimosa spp grown in soils of the Brazilian semiarid region,2014,African Journal of Microbiology Research,8,8,788-796,
76,de Lajudie,"Polyphasic taxonomy of rhizobia: Emendation of the genus Sinorhizobium and description of Sinorhizobium meliloti comb. nov., Sinorhizobium saheli sp. nov., and Sinorhizobium teranga sp. nov.",1994,International Journal of Systematic Bacteriology,44,4,715-733,
77,de Lajudie,Characterization of tropical tree rhizobia and description of Mesorhizobium plurifarium sp. nov.,1998,International Journal of Systematic Bacteriology,48,,369-382,
78,de Lajudie,Agrobacterium bv. 1 strains isolated from nodules of tropical legumes,1999,Systematic and Applied Microbiology,22,,119-132,
79,De Meyer et al,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium),2011,Soil Biology and Biochemistry,43,,2384-2396,
80,De Meyer et al,"Tardiphaga robiniae gen. nov., sp. Nov., a new genus in the family Bradyrhizobiaceae isolated from Robinia pseudoacacia in Flanders (Belgium)",2012,Systematic and Applied Microbiology,35,,205-214,
81,De Meyer et al,Burkholderia sprentiae sp. nov. isolated from Lebeckia ambigua 1 root nodules from South Africa,2013,International Journal of Systematic and Evolutionary Microbiology,63,,3950-3957,
82,De Meyer et al,Burkholderia rhynchosiae sp. nov. isolated from Rhynchosia ferulifolia 1 root nodules from South,2013,International Journal of Systematic and Evolutionary Microbiology,63,,3944-3949,
83,del Villar et al,Stable low molecular weight RNA profiling showed variations within Sinorhizobium meliloti and Sniorhizobium medicae nodulating different legumes from the alfalfa cross-inoculation group,2008,FEMS Microbiology Letters,282,,273-281,
84,Deng et al,Diversity of endophytic bacteria within nodules of the Sphaerophysa salsula in different regions of Loess Plateau in China,2011,FEMS Microbioly Ecology,76,,463-475,
85,Djedidi et al,Stress Tolerance and Symbiotic and Phylogenic Features of Root Nodule Bacteria Associated with Medicago Species in Different Bioclimatic Regions of Tunisia,2011,Microbes and Environments,26,1,36-45,
86,Djedidi et al,Phenotypic and genetic characterization of rhizobia associated with alfalfa in the Hokkaido and Ishigaki regions of Japan,2011,Systematic and Applied Microbiology,34,,435-461,
87,Doignon-Bourcier et al,Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles,2000,Applied and Environmental Microbiology,66,9,3987-3997,
88,Donate-Correa et al,Different Mesorhizobium species sharing the same symbiotic genes nodulate the shrub legume Anagyris latifolia,2007,Systematic and Applied Microbiology,30,,615-623,
89,Drouin et al,Classification of bacteria nodulating Lathyrus japonicus and Lathyrus pratensis in Northern Quebec as strains of Rhizobium leguminosarum boivar viciae,1996,International Journal of Systematic Bacteriology,46,4,1016-1024,
90,Dupuy et al,Phenotypic and genotypic characterization of bradyrhizobia nodulating the leguminous tree Acacia albida,1994,Interantional journal of systematic bacteriology,44,3,461-473,
91,Dughri and Bottomley,Soil acidity and the composition of an indigenous population of Rhizobium trifolii in nodules of different cultivars of Trifolium subterraneum L.,1984,Soil Biology and Biochemistry,16,4,405-411,not comparing rhizobia - just comparing effectiveness of one species with one species of plant in various environmental conditions
92,Duran et al,Genetic diversity of indigenous rhizobial symbionts of the Lupinus mariae-josephae endemism from alkaline-limed soils within its area of distribultion in Eastern Spain,2013,Systematic and Applied Microbiology,36,,128-136,
93,Estrella et al,Genetic diversity and host range of rhizobia nodulating Lotus tenuis in typical soils of the Salado River Basin (Argentina),2009,Applied and Environmental Microbiology,75,4,1088-1098,
94,Fall et al,Phenotypic and genotypic characteriztics of Acacia senegal (L.) Willd. Root-nodulating bacteria isolated from soils in the dryland part of Senegal,2008,Letters in Applied Microbiology,47,,85-97,
95,Fan et al,Characterization of a copper-resistant symbiotic bacterium isolated from Medicago lupulina groing in mine tailings,2011,Biosource Technoloy,102,,703-709,
96,Farida et al,Retama species growing in different ecological-climatic areas of northeastern Algeria have a narrow range of rhizobia that form a novel phylogenetic clade within the Bradyrhizobium genus,2009,Systematic and Applied Microbiology,32,,245-255,
97,Florentino et al,Sesbania virgata stimulates the occurrence of its microsymbionts of other species,2009,Sci. Agric.,66,5,667-676,check journal
98,Fonseca et al,"Nodulation in Dimorphandra wilsonii Rizz. (Caesalphinioideae), a threatened species native to the Brazilian Cerrado",2012,PLoS ONE,7,11,e49520,
99,Frioni et al,Differentiation of rhizobia isolated from native legume trees in Uruguay,2001,Applied Soil Ecology,16,,275-282,
100,Fterich et al,Characterization of root-nodulating bacteria associated to Prosopis farcta growing in the arid regions of Tunisia,2011,Archives of Microbiology,193,,385-397,
101,Fterich et al,Taxonomic and symbiotic diversity of bacteria isolated from nodules of Acacia tortilis subsp. Raddiana in arid soils of Tunisia,2012,Canadian Journal of Microbiology,58,,738-751,
102,Gao et al,"Genetic diversity of rhizobia isolated from Caragana intermedia in Maowusu sandland, north of China",2002,Letters in Applied Microbiology,35,,347-352,
103,Gao et al,"Mesorhizobium septentrionale sp. nov. and Mesorhizobium temperatum sp. nov., isolated from the Astragalus adsurgens growing in the northern regions of China",2004,Interantional Journal of Systematic and Evolutionary Microbiology,54,,2003-2012,
104,Garau et al,"Novel strains of nodulating Burkholderia have a role in nitrogen fixation with papilionoid herbaceous legumes adapted to acid, infertile soils",2009,Soil Biology and Biochemistry,41,,125-134,
105,Gerding et al,Diverse Mesorhizobium spp. With unique nodA nodulating the South African legume species of the genus Lessertia,2012,Plant and Soil,258,,285-401,
106,Gnat at al,Phenotypic characterization of Astragalus glycyphyllos symbionts and their phylogeny based on the 16S rDNA seqences and RFLP of 16S rRNA gene,2014,Antonie van Leeuwenhoek,105,,1033-1048,
107,Gu et al,Diversity and geographical distribution of rhizobia assiciated with Lespedeza spp. In temperate and subtropical regions of China,2007,Archives of Microbiology,188,,355-365,
108,Gu et al,Genetic diversity of rhizobia associated with Desmodium species grown in China,2007,The Society for Applied Microbiology ,44,,286-292,
109,Guan et al,"Mesorhizobium caraganae sp. nov., a novel rhizobial species nodulated with Caragana spp. in China",2008,International Journal of Systematic and Evolutionary Microbiology,58,,2646-2653,
