paper_id,author,year,genus,species,genus_species,annual_perennial,growth_form,habitat_type,sample_country,sample_continent,sites_sampled,strain_source,num_nodules,num_plants,genbank,genetic_region,strain_richness,compares_homeaway,proportion_novel_strains,proportion_familiar_strains,compares_natinv,proportion_overlapping_strains,num_spp_compared,notes
3,Acosta-Duran and Martinez-Romero,2002,Gliricidia,sepium,Gliricidia_sepium,perennial,woody,,Mexico,NA,2,field nodules,204,23,1,16S,28,0,999,999,0,999,999,
7,Ahnia et al,2014,Cytisus,villosus,Cytisus_villosus,perennial,woody,,Algeria,AF,2,field nodules,51,6,1,16S,13,0,999,999,0,999,999,
7,Ahnia et al,2014,Cytisus,villosus,Cytisus_villosus,perennial,woody,,Algeria,AF,2,field nodules,51,6,1,"recA, glnII",10,0,999,999,0,999,999,
7,Ahnia et al,2014,Cytisus,villosus,Cytisus_villosus,perennial,woody,,Algeria,AF,2,field nodules,51,6,1,nodC,10,0,999,999,0,999,999,
7,Ahnia et al,2014,Cytisus,villosus,Cytisus_villosus,perennial,woody,,Algeria,AF,2,field nodules,51,6,0,RAPD,16,0,999,999,0,999,999,M13 primer
10,Alvarez-Martinez et al,2009,Vicia,sativa,Vicia_sativa,perennial,herb,,Spain,EU,3,field nodules,21,999,0,RAPD,7,0,999,999,0,999,999,M13 primer
10,Alvarez-Martinez et al,2009,Vicia,sativa,Vicia_sativa,perennial,herb,,Spain,EU,3,field nodules,21,999,1,16S,1,0,999,999,0,999,999,
10,Alvarez-Martinez et al,2009,Vicia,sativa,Vicia_sativa,perennial,herb,,Spain,EU,3,field nodules,21,999,1,ITS,6,0,999,999,0,999,999,
10,Alvarez-Martinez et al,2009,Vicia,sativa,Vicia_sativa,perennial,herb,,Spain,EU,3,field nodules,21,999,1,recA,4,0,999,999,0,999,999,
10,Alvarez-Martinez et al,2009,Vicia,sativa,Vicia_sativa,perennial,herb,,Spain,EU,3,field nodules,21,999,1,atpD,6,0,999,999,0,999,999,
12,Ampomah and Huss-Danell,2011,Anthyllis,vulneraria,Anthyllis_vulneraria,perennial,herb,,Sweden,EU,3,field nodules,7,999,0,RFLP_ITS,5,0,999,999,0,999,999,RFLP of ITS
12,Ampomah and Huss-Danell,2011,Anthyllis,vulneraria,Anthyllis_vulneraria,perennial,herb,,Sweden,EU,3,field nodules,7,999,1,16S,4,0,999,999,0,999,999,
12,Ampomah and Huss-Danell,2011,Anthyllis,vulneraria,Anthyllis_vulneraria,perennial,herb,,Sweden,EU,3,field nodules,7,999,1,nodA,2,0,999,999,0,999,999,
12,Ampomah and Huss-Danell,2011,Lotus,corniculatus,Lotus_corniculatus,perennial,woody,,Sweden,EU,8,field nodules,54,999,0,RFLP_ITS,26,0,999,999,0,999,999,RFLP of ITS
12,Ampomah and Huss-Danell,2011,Lotus,corniculatus,Lotus_corniculatus,perennial,woody,,Sweden,EU,8,field nodules,54,999,1,16S,18,0,999,999,0,999,999,
12,Ampomah and Huss-Danell,2011,Lotus,corniculatus,Lotus_corniculatus,perennial,woody,,Sweden,EU,8,field nodules,54,999,1,nodA,14,0,999,999,0,999,999,
13,Ampomah and Huss-Danell,2011,Thermopsis,lupinoides,Thermopsis_lupinoides,perennial,herb,,Russia,AS,1,field nodules,20,4,1,16S,1,0,999,999,0,999,999,
13,Ampomah and Huss-Danell,2011,Thermopsis,lupinoides,Thermopsis_lupinoides,perennial,herb,,Russia,AS,1,field nodules,20,4,1,atpD,1,0,999,999,0,999,999,
13,Ampomah and Huss-Danell,2011,Thermopsis,lupinoides,Thermopsis_lupinoides,perennial,herb,,Russia,AS,1,field nodules,20,4,1,recA,1,0,999,999,0,999,999,
13,Ampomah and Huss-Danell,2011,Thermopsis,lupinoides,Thermopsis_lupinoides,perennial,herb,,Russia,AS,1,field nodules,20,4,1,nodA,1,0,999,999,0,999,999,
16,Andam and Parker,2007,Lupinus,texensis,Lupinus_texensis,annual,woody,,United_States,NA,2,field nodules,28,999,1,23S,1,0,999,999,0,999,999,
16,Andam and Parker,2007,Lupinus,texensis,Lupinus_texensis,annual,woody,,United_States,NA,2,field nodules,28,999,1,recA,1,0,999,999,0,999,999,
16,Andam and Parker,2007,Lupinus,texensis,Lupinus_texensis,annual,woody,,United_States,NA,2,field nodules,28,999,1,nifD,1,0,999,999,0,999,999,
16,Andam and Parker,2007,Lupinus,texensis,Lupinus_texensis,annual,woody,,United_States,NA,2,field nodules,28,999,1,nifH,1,0,999,999,0,999,999,
16,Andam and Parker,2007,Lupinus,texensis,Lupinus_texensis,annual,woody,,United_States,NA,2,field nodules,28,999,1,nodA,1,0,999,999,0,999,999,
17,Andam and Parker,2008,Wallaceodendron,celebicum,Wallaceodendron_celebicum,perennial,woody,,Philippines,AS,1,field nodules,48,999,1,16S,3,0,999,999,0,999,999,
17,Andam and Parker,2008,Wallaceodendron,celebicum,Wallaceodendron_celebicum,perennial,woody,,Philippines,AS,1,field nodules,48,999,1,nifD,3,0,999,999,0,999,999,
17,Andam and Parker,2008,Wallaceodendron,celebicum,Wallaceodendron_celebicum,perennial,woody,,Philippines,AS,1,field nodules,48,999,1,dnaK,3,0,999,999,0,999,999,
17,Andam and Parker,2008,Pterocarpus,indicus,Pterocarpus_indicus,perennial,woody,,Philippines,AS,1,field nodules,48,999,1,16S,5,0,999,999,0,999,999,
17,Andam and Parker,2008,Pterocarpus,indicus,Pterocarpus_indicus,perennial,woody,,Philippines,AS,1,field nodules,48,999,1,nifD,5,0,999,999,0,999,999,
17,Andam and Parker,2008,Pterocarpus,indicus,Pterocarpus_indicus,perennial,woody,,Philippines,AS,1,field nodules,48,999,1,dnaK,5,0,999,999,0,999,999,
18,Andam et al,2007,Mimosa,asperata,Mimosa_asperata,perennial,woody,,United_States,NA,2,field nodules,14,999,1,23S,8,0,999,999,0,999,999,
18,Andam et al,2007,Mimosa,asperata,Mimosa_asperata,perennial,woody,,United_States,NA,2,field nodules,14,999,1,16S,1,0,999,999,0,999,999,
18,Andam et al,2007,Mimosa,asperata,Mimosa_asperata,perennial,woody,,United_States,NA,2,field nodules,14,999,1,nodA,2,0,999,999,0,999,999,
18,Andam et al,2007,Mimosa,asperata,Mimosa_asperata,perennial,woody,,United_States,NA,2,field nodules,14,999,1,nifH,3,0,999,999,0,999,999,
21,Andronov et al,2003,Galega,officinalis,Galega_officinalis,perennial,herb,,Russia,AS,17,field nodules,54,999,0,AFLP,33,0,999,999,0,999,999,"AFLP with ITS, nb1, nb2, nb3, nb4, nb5; same number of AFLP IDed strains, but larger differences for orientalis than offilinalis"
21,Andronov et al,2003,Galega,officinalis,Galega_officinalis,perennial,herb,,Russia,AS,17,field nodules,54,999,0,16S,1,0,999,999,0,999,999,
21,Andronov et al,2003,Galega,officinalis,Galega_officinalis,perennial,herb,,Russia,AS,17,field nodules,54,999,0,RFLP_ITS,6,0,999,999,0,999,999,
21,Andronov et al,2003,Galega,officinalis,Galega_officinalis,perennial,herb,,Russia,AS,17,field nodules,54,999,0,RFLP_nodb1,3,0,999,999,0,999,999,
21,Andronov et al,2003,Galega,officinalis,Galega_officinalis,perennial,herb,,Russia,AS,17,field nodules,54,999,0,RFLP_nodb3,1,0,999,999,0,999,999,
21,Andronov et al,2003,Galega,officinalis,Galega_officinalis,perennial,herb,,Russia,AS,17,field nodules,54,999,0,RFLP_nodb4,1,0,999,999,0,999,999,
21,Andronov et al,2003,Galega,officinalis,Galega_officinalis,perennial,herb,,Russia,AS,17,field nodules,54,999,0,RFLP_nodb5,2,0,999,999,0,999,999,
21,Andronov et al,2003,Galega,orientalis,Galega_orientalis,perennial,herb,,Russia,AS,10,field nodules,47,999,0,AFLP,33,0,999,999,0,999,999,"AFLP with ITS, nb1, nb2, nb3, nb4, nb5; same number of AFLP IDed strains, but larger differences for orientalis than offilinalis"
21,Andronov et al,2003,Galega,orientalis,Galega_orientalis,perennial,herb,,Russia,AS,10,field nodules,47,999,0,16S,1,0,999,999,0,999,999,
21,Andronov et al,2003,Galega,orientalis,Galega_orientalis,perennial,herb,,Russia,AS,10,field nodules,47,999,0,RFLP_ITS,18,0,999,999,0,999,999,
21,Andronov et al,2003,Galega,orientalis,Galega_orientalis,perennial,herb,,Russia,AS,10,field nodules,47,999,0,RFLP_nodb1,6,0,999,999,0,999,999,
