old_genus_species,new_name,cultivation.status,notes,Plant.Name.Index
Abarema macradenia,Abarema macradenia,not cultivated,,TRUE
Abrus precatorius,Abrus precatorius,not cultivated,,TRUE
Abrus stictosperma,Abrus pulchellus,not cultivated,,TRUE
Acacia acatlensis,Acacia acatlensis,not cultivated,,TRUE
Acacia acuminata,Acacia acuminata,multiple,agroforestry and ornamental,TRUE
Acacia angustissima,Acacia angustissima,multiple,"food, medicine, forage",TRUE
Acaciella angustissima,Acacia angustissima,multiple,,TRUE
Acacia arenaria,Acacia arenaria,not cultivated,,TRUE
Acacia auriculiformis,Acacia auriculiformis,multiple,"ornamental, fuel",TRUE
Acacia cangaiensis,Acacia cangaiensis,not cultivated,,TRUE
Acacia caven,Acacia caven,ornamental,,TRUE
Acacia cincinnata,Acacia cincinnata,not cultivated,,TRUE
Acacia cochliacantha,Acacia cochliacantha,not cultivated,,TRUE
Acacia cochiacantha,Acacia cochliacantha,not cultivated,,TRUE
Acacia conspersa,Acacia conspersa,not cultivated,,TRUE
Acacia cyclops,Acacia cyclops,agroforestry,,TRUE
Acacia dealbata,Acacia dealbata,ornamental,,TRUE
Acacia deanei,Acacia deanei,anti-errosion ,,TRUE
Acacia decurrens,Acacia decurrens,agroforestry,,TRUE
Acacia dimidiata,Acacia dimidiata,not cultivated,,TRUE
Acacia ehrenbergiana,Acacia ehrenbergiana,agroforestry,,TRUE
Acacia farnesiana,Acacia farnesiana,multiple,"agroforestry, ornamental, medicine",TRUE
Acacia fulva,Acacia fulva,not cultivated,,TRUE
Acacia glaucocarpa,Acacia glaucocarpa,ornamental,,TRUE
Acacia holosericea,Acacia holosericea,agroforestry,,TRUE
Acacia horrida,Acacia horrida,agroforestry,,TRUE
Acacia implexa,Acacia implexa,anti-errosion ,,TRUE
Acacia irrorata,Acacia irrorata,not cultivated,,TRUE
Acacia karroo,Acacia karroo,multiple,"agroforestry, medicinal",TRUE
Acacia laeta,Acacia laeta,agroforestry,,TRUE
Acacia longifolia,Acacia longifolia,multiple,"agroforestry, anti-erosion",TRUE
Acacia macilenta,Acacia macilenta,not cultivated,,TRUE
Acacia  mangium,Acacia mangium,multiple,,TRUE
Acacia mangium,Acacia mangium,multiple,,TRUE
Acacia mangium x auriculiformis,Acacia mangium,multiple,,TRUE
Acacia mearnsii,Acacia mearnsii,agroforestry,,TRUE
Acacia melanoxylon,Acacia melanoxylon,agroforestry,,TRUE
Acacia mimula,Acacia mimula,not cultivated,,TRUE
Acacia nilotica,Acacia nilotica,agroforestry,,TRUE
Acacia nilotica adansonii,Acacia nilotica,agroforestry,,TRUE
Acacia nilotica tomentosa,Acacia nilotica,agroforestry,,TRUE
Acacia obliquinervia,Acacia obliquinervia,not cultivated,,TRUE
Acacia parramattensis,Acacia parramattensis,not cultivated,,TRUE
Acacia parvipinnula,Acacia parvipinnula,not cultivated,,TRUE
Acacia pennatula,Acacia pennatula,not cultivated,,TRUE
Acacia mollissima,Acacia pubescens,agroforestry,,TRUE
Acacia pycnantha,Acacia pycnantha,agroforestry,,TRUE
Acacia salicina,Acacia salicina,multiple,,TRUE
Acacia cyanophylla,Acacia saligna,agroforestry,,TRUE
Acacia saligna,Acacia saligna,agroforestry,,TRUE
Acacia senegal,Acacia senegal,multiple,,TRUE
Acacia seyal,Acacia seyal,multiple,,TRUE
Acacia sp,Acacia sp,,,FALSE
Acacia spp,Acacia sp,,,TRUE
Acacia stenophylla,Acacia stenophylla,multiple,,TRUE
Acacia raddiana,Acacia tortilis,multiple,,TRUE
Acacia tortilis,Acacia tortilis,multiple,,TRUE
Acacia tortillis spp. heteracantha,Acacia tortilis,multiple,,TRUE
Adenocarpus foliolosus,Adenocarpus foliolosus,not cultivated,,TRUE
Adenocarpus hispanicus,Adenocarpus hispanicus,not cultivated,,TRUE
Adesmia bicolor,Adesmia bicolor,not cultivated,,TRUE
Aeschynomene afraspera,Aeschynomene afraspera,not cultivated,,TRUE
Aeschynomene americana,Aeschynomene americana,rangeland/pastureland,,TRUE
Aeschynomene elaphroxylon,Aeschynomene elaphroxylon,not cultivated,,TRUE
Aeschynomene indica,Aeschynomene indica,rangeland/pastureland,,TRUE
Aeschynomene nilotica,Aeschynomene nilotica,not cultivated,,TRUE
Aeschynomene rudis,Aeschynomene rudis,not cultivated,,TRUE
Aeschynomene schimperi,Aeschynomene schimperi,not cultivated,,TRUE
Aeschynomene sensitiva,Aeschynomene sensitiva,agroforestry,,TRUE
Aeschynomene sp.,Aeschynomene sp.,,,FALSE
Aeschynomene tambacoudensis,Aeschynomene tambacoundensis,not cultivated,,TRUE
Aeschynomene uniflora,Aeschynomene uniflora,not cultivated,,TRUE
Aeschynomene uniflorum,Aeschynomene uniflora,not cultivated,,TRUE
Ageratina adenophora,Ageratina adenophora,not cultivated,,TRUE
Albizia confuse,Albizia confuse,,check this species,FALSE
Albizia holosericea,Albizia holosericea,ornamental,,FALSE
Albizia julibrissin,Albizia julibrissin,multiple,,TRUE
Albizia kalkora,Albizia kalkora,multiple,,TRUE
Albizia mangium,Albizia mangium,agroforestry,,FALSE
Alhagi maurorum,Alhagi maurorum,,,TRUE
Alhagi murarum,Alhagi murarum,medicinal,,FALSE
Alhagi sparsifolia,Alhagi sparsifolia,anti-errosion ,,TRUE
Alhagi toum,Alhagi toum,,,FALSE
Alhagi tourm,Alhagi tourm,,"check this species,is it Alhagi maurorum  ",FALSE
Alysicarpus glumaceus,Alysicarpus glumaceus,not cultivated,,TRUE
Alysicapus ovalifolius,Alysicarpus ovalifolius,rangeland/pastureland,,TRUE
Alysicarpus ovalifolius,Alysicarpus ovalifolius,,,TRUE
Alysicarpus rugosus,Alysicarpus rugosus,rangeland/pastureland,,TRUE
Alysicarpus vaginalis,Alysicarpus vaginalis,rangeland/pastureland,,TRUE
Amorpha fruticosa,Amorpha fruticosa,ornamental,,TRUE
Amphicarpaea bracteata,Amphicarpaea bracteata,multiple,ocassionally grown for food,TRUE
Amphicarpaea edgeworthii,Amphicarpaea bracteata,multiple,ocassionally grown for food,TRUE
Amphicarpaea trisperma,Amphicarpaea bracteata,multiple,ocassionally grown for food,TRUE
Amphimas pterocarpoides,Amphimas pterocarpoides,multiple,,TRUE
Anadenanthera colubrina,Anadenanthera colubrina,multiple,,TRUE
Anadenanthera peregrina,Anadenanthera peregrina,agroforestry,,TRUE
Anagyris latifolia,Anagyris latifolia,not cultivated,,TRUE
Andira inermis,Andira inermis,multiple,,TRUE
Anthyllis henoniana,Anthyllis henoniana,not cultivated,,TRUE
Anthyllis vulneraria,Anthyllis vulneraria,medicinal,,TRUE
Aotus ericoides,Aotus ericoides,not cultivated,,TRUE
Apios americana,Apios americana,row crop,,TRUE
Arachis duranenis,Arachis duranensis,not cultivated,,TRUE
Arachis duranensis,Arachis duranensis,,,TRUE
Argyrolobium uniflorum,Argyrolobium uniflorum,multiple,,TRUE
Aspalathus abietina,Aspalathus abietina,not cultivated,,TRUE
Aspalathus carnosa,Aspalathus carnosa,not cultivated,,TRUE
Aspalathus cephalotes,Aspalathus cephalotes,not cultivated,,TRUE
Aspalathus ciliaris,Aspalathus ciliaris,not cultivated,,TRUE
Aspalathus hispida,Aspalathus hispida,not cultivated,,TRUE
Aspalathus linearis,Aspalathus linearis,agroforestry,,TRUE
Astragalus gummifer,Astracantha gummifera,multiple,,TRUE
Astragalus adsurgens,Astragalus adsurgens,not cultivated,,TRUE
Astragalus aksuensis,Astragalus aksuensis,medicinal,,TRUE
Astragalus algerianus,Astragalus algerianus,not cultivated,,TRUE
Astragalus alpinus,Astragalus alpinus,not cultivated,,TRUE
Astragalus americanus,Astragalus americanus,not cultivated,,TRUE
Astragalus armatus,Astragalus armatus,not cultivated,,TRUE
Astragalus spp,Astragalus asper,,,TRUE
Astragalus betetovii,Astragalus beketowi,not cultivated,,TRUE
