genus,species,genus_species,cultivation status,
Abarema,macradenia,Abarema_macradenia,not cultivated,
Abrus,precatorius,Abrus_precatorius,not cultivated,
Abrus,stictosperma,Abrus_stictosperma,not cultivated,
Acacia ,mangium,Acacia _mangium,agroforestry,
Acacia,acatlensis,Acacia_acatlensis,not cultivated,
Acacia,acuminata,Acacia_acuminata,multiple,agroforestry and ornamental
Acacia,albida,Acacia_albida,agroforestry,
Acacia,angustissima,Acacia_angustissima,multiple,"food, medicine, forage"
Acacia,arenaria,Acacia_arenaria,not cultivated,
Acacia,auriculiformis,Acacia_auriculiformis,multiple,"ornamental, fuel"
Acacia,cangaiensis,Acacia_cangaiensis,not cultivated,
Acacia,caven,Acacia_caven,ornamental,
Acacia,cincinnata,Acacia_cincinnata,not cultivated,
Acacia,cochliacantha,Acacia_cochliacantha,not cultivated,
Acacia,conspersa,Acacia_conspersa,not cultivated,
Acacia,cyanophylla,Acacia_cyanophylla,agroforestry,
Acacia,cyclops,Acacia_cyclops,agroforestry,
Acacia,dealbata,Acacia_dealbata,ornamental,
Acacia,deanei,Acacia_deanei,anti-errosion ,
Acacia,decurrens,Acacia_decurrens,agroforestry,
Acacia,dimidiata,Acacia_dimidiata,not cultivated,
Acacia,ehrenbergiana,Acacia_ehrenbergiana,agroforestry,
Acacia,farnesiana,Acacia_farnesiana,multiple,"agroforestry, ornamental, medicine"
Acacia,fulva,Acacia_fulva,not cultivated,
Acacia,glaucocarpa,Acacia_glaucocarpa,ornamental,
Acacia,holosericea,Acacia_holosericea,agroforestry,
Acacia,horrida,Acacia_horrida,agroforestry,
Acacia,implexa,Acacia_implexa,anti-errosion ,
Acacia,irrorata,Acacia_irrorata,not cultivated,
Acacia,karroo,Acacia_karroo,multiple,"agroforestry, medicinal"
Acacia,laeta,Acacia_laeta,agroforestry,
Acacia,longifolia,Acacia_longifolia,multiple,"agroforestry, anti-erosion"
Acacia,macilenta,Acacia_macilenta,not cultivated,
Acacia,mangium,Acacia_mangium,multiple,
Acacia,mangium x auriculiformis,Acacia_mangium x auriculiformis,agroforestry,
Acacia,mearnsii,Acacia_mearnsii,agroforestry,
Acacia,melanoxylon,Acacia_melanoxylon,agroforestry,
Acacia,mimula,Acacia_mimula,not cultivated,
Acacia,mollissima,Acacia_mollissima,agroforestry,
Acacia,nilotica,Acacia_nilotica,agroforestry,
Acacia,nilotica adansonii,Acacia_nilotica adansonii,not cultivated,
Acacia,nilotica tomentosa,Acacia_nilotica tomentosa,agroforestry,
Acacia,obliquinervia,Acacia_obliquinervia,not cultivated,
Acacia,parramattensis,Acacia_parramattensis,not cultivated,
Acacia,parvipinnula,Acacia_parvipinnula,not cultivated,
Acacia,pennatula,Acacia_pennatula,not cultivated,
Acacia,pycnantha,Acacia_pycnantha,agroforestry,
Acacia,raddiana,Acacia_raddiana,,
Acacia,salicina,Acacia_salicina,,
Acacia,saligna,Acacia_saligna,,
Acacia,senegal,Acacia_senegal,,
Acacia,seyal,Acacia_seyal,,
Acacia,sp,Acacia_sp,,
Acacia,spp,Acacia_spp,,
Acacia,stenophylla,Acacia_stenophylla,,
Acacia,tortilis,Acacia_tortilis,,
Acacia,tortillis spp. heteracantha,Acacia_tortillis spp. heteracantha,,
Acaciella,angustissima,Acaciella_angustissima,,
Adenocarpus,foliolosus,Adenocarpus_foliolosus,,
Adenocarpus,hispanicus,Adenocarpus_hispanicus,,
Adesmia,bicolor,Adesmia_bicolor,,
Aeschynomene,afraspera,Aeschynomene_afraspera,,
Aeschynomene,americana,Aeschynomene_americana,,
Aeschynomene,elaphroxylon,Aeschynomene_elaphroxylon,,
Aeschynomene,indica,Aeschynomene_indica,,
Aeschynomene,nilotica,Aeschynomene_nilotica,,
Aeschynomene,rudis,Aeschynomene_rudis,,
Aeschynomene,schimperi,Aeschynomene_schimperi,,
Aeschynomene,sensitiva,Aeschynomene_sensitiva,,
Aeschynomene,sp.,Aeschynomene_sp.,,
Aeschynomene,tambacoudensis,Aeschynomene_tambacoudensis,,
Aeschynomene,uniflora,Aeschynomene_uniflora,,
Aeschynomene,uniflorum,Aeschynomene_uniflorum,,
Ageratina,adenophora,Ageratina_adenophora,,
Albizia,confuse,Albizia_confuse,,
Albizia,falcataria,Albizia_falcataria,,
Albizia,holosericea,Albizia_holosericea,,
Albizia,julibrissin,Albizia_julibrissin,,
Albizia,kalkora,Albizia_kalkora,,
Albizia,mangium,Albizia_mangium,,
Alhagi,murarum,Alhagi_murarum,,
Alhagi,sparsifolia,Alhagi_sparsifolia,,
Alhagi,tourm,Alhagi_tourm,,
Alysicapus,ovalifolius,Alysicapus_ovalifolius,,
Alysicarpus,glumaceus,Alysicarpus_glumaceus,,
Alysicarpus,rugosus,Alysicarpus_rugosus,,
Alysicarpus,vaginalis,Alysicarpus_vaginalis,,
Amorpha,fruticosa,Amorpha_fruticosa,,
Amphicarpaea,bracteata,Amphicarpaea_bracteata,,
Amphicarpaea,edgeworthii,Amphicarpaea_edgeworthii,,
Amphicarpaea,trisperma,Amphicarpaea_trisperma,,
Amphimas,pterocarpoides,Amphimas_pterocarpoides,,
Anadenanthera,colubrina,Anadenanthera_colubrina,,
Anadenanthera,peregrina,Anadenanthera_peregrina,,
Anagyris,latifolia,Anagyris_latifolia,,
Andira,inermis,Andira_inermis,,
Anthyllis,henoniana,Anthyllis_henoniana,,
Anthyllis,vulneraria,Anthyllis_vulneraria,,
Aotus,ericoides,Aotus_ericoides,,
Apios,americana,Apios_americana,,
Arachis,duranenis,Arachis_duranenis,,
Argyrolobium,uniflorum,Argyrolobium_uniflorum,,
Aspalathus,abietina,Aspalathus_abietina,,
Aspalathus,carnosa,Aspalathus_carnosa,,
Aspalathus,cephalotes,Aspalathus_cephalotes,,
Aspalathus,ciliaris,Aspalathus_ciliaris,,
Aspalathus,hispida,Aspalathus_hispida,,
Aspalathus,linearis,Aspalathus_linearis,,
Astragalus,adsurgens,Astragalus_adsurgens,,
Astragalus,aksuensis,Astragalus_aksuensis,,
Astragalus,algerianus,Astragalus_algerianus,,
Astragalus,alpinus,Astragalus_alpinus,,
Astragalus,americanus,Astragalus_americanus,,
Astragalus,armatus,Astragalus_armatus,,
Astragalus,betetovii,Astragalus_betetovii,,
Astragalus,canadensis,Astragalus_canadensis,,
Astragalus,capillipes,Astragalus_capillipes,,
Astragalus,chrysopterus,Astragalus_chrysopterus,,
Astragalus,chyrsopterus,Astragalus_chyrsopterus,,
Astragalus,cicer,Astragalus_cicer,,
Astragalus,complanatus,Astragalus_complanatus,,
Astragalus,complantus,Astragalus_complantus,,
Astragalus,cruciatus,Astragalus_cruciatus,,
Astragalus,dahuricus,Astragalus_dahuricus,,
Astragalus,danicus,Astragalus_danicus,,
Astragalus,discolor,Astragalus_discolor,,
Astragalus,efoliolatus,Astragalus_efoliolatus,,
Astragalus,ernestii,Astragalus_ernestii,,
Astragalus,eucosmus,Astragalus_eucosmus,,
Astragalus,filicaulis,Astragalus_filicaulis,,
Astragalus,globiformis,Astragalus_globiformis,,
Astragalus,glycyphyllos,Astragalus_glycyphyllos,,
Astragalus,gombiformis,Astragalus_gombiformis,,
Astragalus,gummifer,Astragalus_gummifer,,
Astragalus,henryi,Astragalus_henryi,,
Astragalus,hypoglottis,Astragalus_hypoglottis,,
Astragalus,kifonsanicus,Astragalus_kifonsanicus,,
Astragalus,laceratus,Astragalus_laceratus,,
Astragalus,lepsensis,Astragalus_lepsensis,,
Astragalus,luteolus,Astragalus_luteolus,,
Astragalus,melilotoides,Astragalus_melilotoides,,
Astragalus,membranaceus,Astragalus_membranaceus,,
Astragalus,mollissimus,Astragalus_mollissimus,,
