STUDY_ID,REVIEWERS,INCLUDE,Publication.Type,Authors,Book.Authors,Group.Authors,Book.Group.Authors,Researcher.Ids,ORCIDs,Book.Editors,Author...Arabic,Article.Title,Article.Title...SciELO,Article.Title...SciELO.1,Article.Title...Chinese,Article.Title...Russian,Patent.Number,Patent.Assignee,Source.Title...Arabic,Source.Title,Source.Title...Korean,Book.Series.Title,Book.Series.Subtitle,Volume,Issue,Special.Issue,Meeting.Abstract,Start.Page,End.Page,Article.Number,DOI,Book.DOI,Early.Access.Date,Supplement,Publication.Date,Publication.Year,Abstract,Abstract...Foreign,Abstract...English.Transliteration,Abstract...Foreign.1,Abstract...Korean,Conference.Title,Conference.Date,Conference.Sponsor,Conference.Location,Times.Cited..WoS.Core,Times.Cited..CSCD.,Times.Cited..RSCI,Times.Cited..ARCI,Times.Cited..BCI,Times.Cited..SCIELO,Times.Cited..All.Databases,X180.Day.Usage.Count,Since.2013.Usage.Count,ISSN,eISSN,ISBN,UT..Unique.ID.,Pubmed.Id,X
2,Kim,YES,J,"Liu, Wendy Y Y; Ridgway, Hayley J; James, Trevor K; James, Euan K; Chen, Wen-Ming; Sprent, Janet I; Young, J Peter W; Andrews, Mitchell",NA,,NA,"Ridgway, Hayley J/J-6720-2013; Young, Peter/C-1446-2012; Andrews, Mitchell/R-3874-2018; James, Euan K/K-1135-2012","Ridgway, Hayley J/0000-0002-0735-7649; Young, Peter/0000-0001-5259-4830; Andrews, Mitchell/0000-0002-3875-7290; James, Euan K/0000-0001-7969-6570",NA,NA,Burkholderia sp. induces functional nodules on the South African invasive legume Dipogon lignosus (Phaseoleae) in New Zealand soils.,,NA,NA,,NA,NA,NA,Microbial ecology,NA,NA,NA,68,3,NA,NA,542,55,NA,10.1007/s00248-014-0427-0,NA,NA,NA,2014-Oct,2014,"The South African invasive legume Dipogon lignosus (Phaseoleae) produces nodules with both determinate and indeterminate characteristics in New Zealand (NZ) soils. Ten bacterial isolates produced functional nodules on D. lignosus. The 16S ribosomal RNA (rRNA) gene sequences identified one isolate as Bradyrhizobium sp., one isolate as Rhizobium sp. and eight isolates as Burkholderia sp. The Bradyrhizobium sp. and Rhizobium sp. 16S rRNA sequences were identical to those of strains previously isolated from crop plants and may have originated from inocula used on crops. Both 16S rRNA and DNA recombinase A (recA) gene sequences placed the eight Burkholderia isolates separate from previously described Burkholderia rhizobial species. However, the isolates showed a very close relationship to Burkholderia rhizobial strains isolated from South African plants with respect to their nitrogenase iron protein (nifH), N-acyltransferase nodulation protein A (nodA) and N-acetylglucosaminyl transferase nodulation protein C (nodC) gene sequences. Gene sequences and enterobacterial repetitive intergenic consensus (ERIC) PCR and repetitive element palindromic PCR (rep-PCR) banding patterns indicated that the eight Burkholderia isolates separated into five clones of one strain and three of another. One strain was tested and shown to produce functional nodules on a range of South African plants previously reported to be nodulated by Burkholderia tuberum STM678(T) which was isolated from the Cape Region. Thus, evidence is strong that the Burkholderia strains isolated here originated in South Africa and were somehow transported with the plants from their native habitat to NZ. It is possible that the strains are of a new species capable of nodulating legumes.",,,NA,NA,NA,NA,NA,NA,36,0,0,0,34,1,36,NA,NA,,1432-184X,NA,MEDLINE:24801964,24801964,NA
5,Kim,NO,J,"Gudzinskas, Zigmantas; Taura, Laurynas",NA,,NA,"Gudzinskas, Zigmantas/ABD-1843-2020","Gudzinskas, Zigmantas/0000-0001-6230-5924",NA,NA,"Do Reproductive Traits of Invasive Populations of Scotch Broom, Cytisus scoparius (Fabaceae), Outperform Native Populations?",,NA,NA,,NA,NA,NA,"Plants (Basel, Switzerland)",NA,NA,NA,11,16,NA,NA,,,NA,10.3390/plants11162158,NA,NA,NA,2022 Aug 19,2022,"Reproductive traits are among the most important factors in determining the success of species establishment and invasion in a new area. Studies on transcontinental invasions have revealed that invasive species perform better in the invasive range than in their native ranges. We assumed that the same regularity exists in intracontinental invasions and thus investigated whether the reproductive traits of Scotch broom, Cytisus scoparius, perform better in the alien invasive range in Europe compared to its native range in the same continent. The aim of this research was to reveal the potential and realised fecundity of C. scoparius in its native and invasive ranges, as well as relationships with the size of pods, habitat type, and how these traits vary at the same site in different years. The results of this study were not able to unambiguously confirm our hypothesis that C. scoparius in the invasive range in Lithuania, specifically in the southern part of the Boreal biogeographical region, outperform plants in the native range with regard to the analysed reproductive traits. Potential fecundity of C. scoparius in the native range was significantly higher than in the invaded range; however, realised fecundity was not significantly different between the native and invasive ranges. The pod length was similar in both ranges, whereas the pod width was significantly greater in the invasive range than in the native range. The results suggest that the number of ovules per pod, number of matured seeds, and the size of pods are related with the type of habitat and local environmental conditions in the habitat. Although many studies on other species have confirmed higher fecundity and overall better performance of plants in the invasive range than in the native range on other continents, this rule probably cannot be applied for intracontinental invasive species occurring in relatively close geographical regions to their native ranges.",,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,2223-7747,,NA,MEDLINE:36015460,36015460,NA
7,Kim,NO,J,"McRoberts, N; Thomas, C S; Brown, J K; Nutter, F W; Stack, J P; Martyn, R D",NA,,NA,"McRoberts, Neil/E-7778-2012","McRoberts, Neil/0000-0001-6346-9461",NA,NA,The Evolution of a Process for Selecting and Prioritizing Plant Diseases for Recovery Plans.,,NA,NA,,NA,NA,NA,Plant disease,NA,NA,NA,100,4,NA,NA,665,671,NA,10.1094/PDIS-04-15-0457-FE,NA,NA,NA,2016-Apr,2016,"One element of the cost of dealing with invasive species in the United States is the recovery from the arrival of exotic plant pathogens. We review the development of a process used to prioritize plant diseases for the federally mandated United State Department of Agriculture National Plant Disease Recovery System. A team of university, government, and industry scientists worked together over a 10-year period to develop a science-based objective approach to the challenge of effectively preparing for recovery plans from introduced pathogens, when the timing of the introduction of any single disease is unknown. Over time, the process transitioned from ad hoc, in which recovery plans were written when the relevant experts were able to do so, to a formally organized group-prioritization effort from which emerged the concept of generic recovery plan templates for groups of pathogens and diseases that have similar biological characteristics, and therefore, similar management approaches. Key characteristics for each template were determined through a multivariate analysis for 14 plant diseases for which a recovery plan already existed. The process was validated by a larger group of 15 plant pathologists, for which results were compared with those scored by 14 subject matter experts.",,,NA,NA,NA,NA,NA,NA,4,0,0,0,4,0,4,NA,NA,0191-2917,,NA,MEDLINE:30688615,30688615,NA
8,Kim,maybe,J,"Le Roux, Johannes J; Hui, Cang; Keet, Jan-Hendrik; Ellis, Allan G",NA,,NA,"Hui, Cang/A-1781-2008; Ellis, Allan/H-1105-2011","Hui, Cang/0000-0002-3660-8160; Ellis, Allan/0000-0001-6310-2870; Keet, Jan-Hendrik/0000-0003-2610-9410; Le Roux, Johannes/0000-0001-7911-9810",NA,NA,Co-introduction vs ecological fitting as pathways to the establishment of effective mutualisms during biological invasions.,,NA,NA,,NA,NA,NA,The New phytologist,NA,NA,NA,215,4,NA,NA,1354,1360,NA,10.1111/nph.14593,NA,NA,NA,2017-Sep,2017,"Contents 1354 I. 1354 II. 1355 III. 1357 IV. 1357 V. 1359 1359 References 1359 SUMMARY: Interactions between non-native plants and their mutualists are often disrupted upon introduction to new environments. Using legume-rhizobium mutualistic interactions as an example, we discuss two pathways that can influence symbiotic associations in such situations: co-introduction of coevolved rhizobia; and utilization of, and adaptation to, resident rhizobia, hereafter referred to as 'ecological fitting'. Co-introduction and ecological fitting have distinct implications for successful legume invasions and their impacts. Under ecological fitting, initial impacts may be less severe and will accrue over longer periods as novel symbiotic associations and/or adaptations may require fine-tuning over time. Co-introduction will have more profound impacts that will accrue more rapidly as a result of positive feedbacks between densities of non-native rhizobia and their coevolved host plants, in turn enhancing competition between native and non-native rhizobia. Co-introduction can further impact invasion outcomes by the exchange of genetic material between native and non-native rhizobia, potentially resulting in decreased fitness of native legumes. A better understanding of the roles of these two pathways in the invasion dynamics of non-native legumes is much needed, and we highlight some of the exciting research avenues it presents.",,,NA,NA,NA,NA,NA,NA,30,0,1,0,31,0,32,NA,NA,,1469-8137,NA,MEDLINE:28771816,28771816,NA
9,Kim,maybe,J,"Rodriguez-Echeverria, Susana; Traveset, Anna",NA,,NA,"Traveset, Anna V/D-7802-2011; Rodriguez-Echeverria, Susana/I-1730-2015","Rodriguez-Echeverria, Susana/0000-0002-2058-3229",NA,NA,Putative linkages between below- and aboveground mutualisms during alien plant invasions.,,NA,NA,,NA,NA,NA,AoB PLANTS,NA,NA,NA,7,,NA,NA,,,NA,10.1093/aobpla/plv062,NA,NA,NA,2015 Jun 01,2015,"Evidence of the fundamental role of below-aboveground links in controlling ecosystem processes is mostly based on studies done with soil herbivores or mutualists and aboveground herbivores. Much less is known about the links between belowground and aboveground mutualisms, which have been studied separately for decades. It has not been until recently that these mutualisms-mycorrhizas and legume-rhizobia on one hand, and pollinators and seed dispersers on the other hand-have been found to influence each other, with potential ecological and evolutionary consequences. Here we review the mechanisms that may link these two-level mutualisms, mostly reported for native plant species, and make predictions about their relevance during alien plant invasions. We propose that alien plants establishing effective mutualisms with belowground microbes might improve their reproductive success through positive interactions between those mutualists and pollinators and seed dispersers. On the other hand, changes in the abundance and diversity of soil mutualists induced by invasion can also interfere with below-aboveground links for native plant species. We conclude that further research on this topic is needed in the field of invasion ecology as it can provide interesting clues on synergistic interactions and invasional meltdowns during alien plant invasions.",,,NA,NA,NA,NA,NA,NA,10,0,0,0,8,0,10,NA,NA,2041-2851,,NA,MEDLINE:26034049,26034049,NA
15,Kim,NO,J,"Montebello, Aubrey N; Brecht, Ryan M; Turner, Remington D; Ghali, Miranda; Pu, Xinzhu; Nagarajan, Rajesh",NA,,NA,,,NA,NA,Acyl-ACP substrate recognition in Burkholderia mallei BmaI1 acyl-homoserine lactone synthase.,,NA,NA,,NA,NA,NA,Biochemistry,NA,NA,NA,53,39,NA,NA,6231,42,NA,10.1021/bi5009529,NA,NA,NA,2014-Oct-07,2014,"The acyl-homoserine lactone (AHL) autoinducer mediated quorum sensing regulates virulence in several pathogenic bacteria. The hallmark of an efficient quorum sensing system relies on the tight specificity in the signal generated by each bacterium. Since AHL signal specificity is derived from the acyl-chain of the acyl-ACP (ACP = acyl carrier protein) substrate, AHL synthase enzymes must recognize and react with the native acyl-ACP with high catalytic efficiency while keeping reaction rates with non-native acyl-ACPs low. The mechanism of acyl-ACP substrate recognition in these enzymes, however, remains elusive. In this study, we investigated differences in catalytic efficiencies for shorter and longer chain acyl-ACP substrates reacting with an octanoyl-homoserine lactone synthase Burkholderia mallei BmaI1. With the exception of two-carbon shorter hexanoyl-ACP, the catalytic efficiencies of butyryl-ACP, decanoyl-ACP, and octanoyl-CoA reacting with BmaI1 decreased by greater than 20-fold compared to the native octanoyl-ACP substrate. Furthermore, we also noticed kinetic cooperativity when BmaI1 reacted with non-native acyl-donor substrates. Our kinetic data suggest that non-native acyl-ACP substrates are unable to form a stable and productive BmaI1·acyl-ACP·SAM ternary complex and are thus effectively discriminated by the enzyme. These results offer insights into the molecular basis of substrate recognition for the BmaI1 enzyme.",,,NA,NA,NA,NA,NA,NA,9,0,0,0,9,0,9,NA,NA,,1520-4995,NA,MEDLINE:25215658,25215658,NA
16,Kim,YES,J,"Bromfield, Eden S P; Cloutier, Sylvie; Robidas, Catherine; Tran Thi, Thu Van; Darbyshire, Stephen J",NA,,NA,,"Bromfield, Eden/0000-0001-5385-7815; Cloutier, Sylvie/0000-0002-3349-4604",NA,NA,Invasive Galega officinalis (Goat's rue) plants in Canada form a symbiotic association with strains of Neorhizobium galegae sv. officinalis originating from the Old World.,,NA,NA,,NA,NA,NA,Ecology and evolution,NA,NA,NA,9,12,NA,NA,6999,7004,NA,10.1002/ece3.5266,NA,NA,NA,2019-Jun,2019,"The toxic legume plant, Galega officinalis, is native to the Eastern Mediterranean and Black Sea regions. This legume is considered to be a noxious weed, and its establishment in Canada may have resulted from ornamental planting and/or field trials. In its native range, a highly specific nitrogen-fixing symbiosis with the bacterium, Neorhizobium galegae symbiovar (sv.) officinalis, is required for normal growth. In North America, nothing is known about the bacterial symbionts of G.officinalis. Our purpose was to determine the species and symbiovar identity of symbiotic bacteria associated with invasive plants of G.officinalis at five sites in the province of Ontario, Canada. Sequence analysis of four housekeeping (16S rRNA, atpD, glnII, and recA) and two symbiosis (nodC and nifH) genes showed that all 50 bacterial isolates from root nodules of G.officinalis at the fiveCanadian sites were identical to strains of N.galegae sv. officinalis originating either from Europe or the Caucasus. Plant tests indicated that soils collected from four Canadian sites without a history of agriculture or presence of G.officinalis were deficient in symbiotic bacteria capable of eliciting nodules on this plant. Collectively our data support the hypothesis of anthropogenic co-introduction of G.officinalis and its specific symbiotic bacterium into Canada from the Old World. Factors that may limit the spread of G.officinalis in new environments are discussed.",,,NA,NA,NA,NA,NA,NA,2,0,0,0,1,0,2,NA,NA,2045-7758,,NA,MEDLINE:31380028,31380028,NA
17,Kim,NO,J,"Slinger, Betty L; Deay, Jacqueline J; Chandler, Josephine R; Blackwell, Helen E",NA,,NA,,"Stevens, Jacqueline/0000-0003-2235-0522",NA,NA,Potent modulation of the CepR quorum sensing receptor and virulence in a Burkholderia cepacia complex member using non-native lactone ligands.,,NA,NA,,NA,NA,NA,Scientific reports,NA,NA,NA,9,1,NA,NA,13449,13449,NA,10.1038/s41598-019-49693-x,NA,NA,NA,2019 Sep 17,2019,"The Burkholderia cepacia complex (Bcc) is a family of closely related bacterial pathogens that are the causative agent of deadly human infections. Virulence in Bcc species has been shown to be controlled by the CepI/CepR quorum sensing (QS) system, which is mediated by an N-acyl L-homoserine lactone (AHL) signal (C8-AHL) and its cognate LuxR-type receptor (CepR). Chemical strategies to block QS in Bcc members would represent an approach to intercept this bacterial communication process and further delineate its role in infection. In the current study, we sought to identify non-native AHLs capable of agonizing or antagonizing CepR, and thereby QS, in a Bcc member. We screened a library of AHL analogs in cell-based reporters for CepR, and identified numerous highly potent CepR agonists and antagonists. These compounds remain active in a Bcc member, B. multivorans, with one agonist 250-fold more potent than the native ligand C8-AHL, and can affect QS-controlled motility. Further, the CepR antagonists prolong C. elegans survival in an infection model. These AHL analogs are the first reported non-native molecules that both directly modulate CepR and impact QS-controlled phenotypes in a Bcc member, and represent valuable chemical tools to assess the role of QS in Bcc infections.",,,NA,NA,NA,NA,NA,NA,3,0,0,0,2,0,3,NA,NA,,2045-2322,NA,MEDLINE:31530834,31530834,NA
20,Kim,NO,J,"Bayles, Brett R; Thomas, Shyam M; Simmons, Gregory S; Grafton-Cardwell, Elizabeth E; Daugherty, Mathew P",NA,,NA,"Bayles, Brett/AAA-2751-2020; Thomas, Shyam/AAN-4043-2020","Bayles, Brett/0000-0002-3474-4353; ",NA,NA,Spatiotemporal dynamics of the Southern California Asian citrus psyllid (Diaphorina citri) invasion.,,NA,NA,,NA,NA,NA,PloS one,NA,NA,NA,12,3,NA,NA,e0173226,e0173226,NA,10.1371/journal.pone.0173226,NA,NA,NA,2017,2017,"Biological invasions are governed by spatial processes that tend to be distributed in non-random ways across landscapes. Characterizing the spatial and temporal heterogeneities of the introduction, establishment, and spread of non-native insect species is a key aspect of effectively managing their geographic expansion. The Asian citrus psyllid (Diaphorina citri), a vector of the bacterium associated with huanglongbing (HLB), poses a serious threat to commercial and residential citrus trees. In 2008, D. citri first began expanding northward from Mexico into parts of Southern California. Using georeferenced D. citri occurrence data from 2008-2014, we sought to better understand the extent of the geographic expansion of this invasive vector species. Our objectives were to: 1) describe the spatial and temporal distribution of D. citri in Southern California, 2) identify the locations of statistically significant D. citri hotspots, and 3) quantify the dynamics of anisotropic spread. We found clear evidence that the spatial and temporal distribution of D. citri in Southern California is non-random. Further, we identified the existence of statistically significant hotspots of D. citri occurrence and described the anisotropic dispersion across the Southern California landscape. For example, the dominant hotspot surrounding Los Angeles showed rapid and strongly asymmetric spread to the south and east. Our study demonstrates the feasibility of quantitative invasive insect risk assessment with the application of a spatial epidemiology framework.",,,NA,NA,NA,NA,NA,NA,37,0,0,0,36,1,39,NA,NA,,1932-6203,NA,MEDLINE:28278188,28278188,NA
22,Kim,NO,J,"Parker, Matthew A",NA,,NA,,,NA,NA,A single sym plasmid type predominates across diverse chromosomal lineages of Cupriavidus nodule symbionts.,,NA,NA,,NA,NA,NA,Systematic and applied microbiology,NA,NA,NA,38,6,NA,NA,417,23,NA,10.1016/j.syapm.2015.06.003,NA,NA,NA,2015-Sep,2015,"Cupriavidus nodule symbionts from Mimosa host legumes indigenous to five locations around the Caribbean region were analyzed by sequencing portions of five chromosomal housekeeping loci and five sym plasmid loci in 80 isolates. Nodule symbionts did not form a single clade separated from non-symbiotic reference strains of Cupriavidus and Ralstonia, implying that either convergent losses or independent gains of the trait of legume symbiosis have taken place. Chromosomal genes exhibited significantly higher nucleotide polymorphism and haplotype diversity than sym plasmid loci. A single derived sym plasmid haplotype (A1) was found to predominate in four of the populations, and was shared by multiple housekeeping gene clades. This suggests that one sym plasmid variant has recently spread geographically and has been acquired by diverse chromosomal lineages within the region. Inoculation of two Mimosa host species indicated that strains carrying the predominant A1 haplotype ranked either first or second among the five major sym plasmid haplotype groups with respect to plant growth enhancement. Symbiotic outcomes also varied greatly among chromosomally diverse strains that all shared the A1 haplotype. Thus, chromosomal as well as sym plasmid variants likely contribute to differential interactions with Mimosa host species.",,,NA,NA,NA,NA,NA,NA,6,0,0,0,6,0,6,NA,NA,,1618-0984,NA,MEDLINE:26159623,26159623,NA
