STUDY_ID,REVIEWERS,INCLUDE,Publication.Type,Authors,Book.Authors,Group.Authors,Book.Group.Authors,Researcher.Ids,ORCIDs,Book.Editors,Author...Arabic,Article.Title,Article.Title...SciELO,Article.Title...SciELO.1,Article.Title...Chinese,Article.Title...Russian,Patent.Number,Patent.Assignee,Source.Title...Arabic,Source.Title,Source.Title...Korean,Book.Series.Title,Book.Series.Subtitle,Volume,Issue,Special.Issue,Meeting.Abstract,Start.Page,End.Page,Article.Number,DOI,Book.DOI,Early.Access.Date,Supplement,Publication.Date,Publication.Year,Abstract,Abstract...Foreign,Abstract...English.Transliteration,Abstract...Foreign.1,Abstract...Korean,Conference.Title,Conference.Date,Conference.Sponsor,Conference.Location,Times.Cited..WoS.Core,Times.Cited..CSCD.,Times.Cited..RSCI,Times.Cited..ARCI,Times.Cited..BCI,Times.Cited..SCIELO,Times.Cited..All.Databases,X180.Day.Usage.Count,Since.2013.Usage.Count,ISSN,eISSN,ISBN,UT..Unique.ID.,Pubmed.Id,X
4,Smriti,YES,J,"Porter, Stephanie S; Faber-Hammond, Joshua J; Friesen, Maren L",NA,NA,NA,,"Friesen, Maren/0000-0002-4274-8928; Porter, Stephanie/0000-0002-1193-9705",NA,NA,Co-invading symbiotic mutualists of Medicago polymorpha retain high ancestral diversity and contain diverse accessory genomes.,,NA,NA,,NA,NA,NA,FEMS microbiology ecology,NA,NA,NA,94,1,NA,NA,,,NA,10.1093/femsec/fix168,NA,NA,NA,1/1/2018,2018,"Exotic, invasive plants and animals can wreak havoc on ecosystems by displacing natives and altering environmental conditions. However, much less is known about the identities or evolutionary dynamics of the symbiotic microbes that accompany invasive species. Most leguminous plants rely upon symbiotic rhizobium bacteria to fix nitrogen and are incapable of colonizing areas devoid of compatible rhizobia. We compare the genomes of symbiotic rhizobia in a portion of the legume's invaded range with those of the rhizobium symbionts from across the legume's native range. We show that in an area of California the legume Medicago polymorpha has invaded, its Ensifer medicae symbionts: (i) exhibit genome-wide patterns of relatedness that together with historical evidence support host-symbiont co-invasion from Europe into California, (ii) exhibit population genomic patterns consistent with the introduction of the majority of deep diversity from the native range, rather than a genetic bottleneck during colonization of California and (iii) harbor a large set of accessory genes uniquely enriched in binding functions, which could play a role in habitat invasion. Examining microbial symbiont genome dynamics during biological invasions is critical for assessing host-symbiont co-invasions whereby microbial symbiont range expansion underlies plant and animal invasions.",,,NA,NA,NA,NA,NA,NA,5,0,0,0,5,0,5,NA,NA,,1574-6941,NA,MEDLINE:29228264,29228264,NA
6,Smriti,YES,J,"Melkonian, Remy; Moulin, Lionel; Bena, Gilles; Tisseyre, Pierre; Chaintreuil, Clemence; Heulin, Karine; Rezkallah, Naima; Klonowska, Agnieszka; Gonzalez, Sophie; Simon, Marcelo; Chen, Wen-Ming; James, Euan K; Laguerre, Gisele",NA,NA,NA,"Bena, Gilles/GOG-7902-2022; Gonzalez, Sophie/U-1674-2017; James, Euan K/K-1135-2012; Moulin, Lionel/C-2921-2008; Simon, Marcelo F./AAA-7161-2019","Gonzalez, Sophie/0000-0003-4109-2004; James, Euan K/0000-0001-7969-6570; Moulin, Lionel/0000-0001-9068-6912; Simon, Marcelo F./0000-0002-5732-1716; Klonowska, Agnieszka/0000-0003-3325-7980; Bena, Gilles/0000-0003-3080-8441; Gotty, Karine/0000-0002-1465-5644",NA,NA,The geographical patterns of symbiont diversity in the invasive legume Mimosa pudica can be explained by the competitiveness of its symbionts and by the host genotype.,,NA,NA,,NA,NA,NA,Environmental microbiology,NA,NA,NA,16,7,NA,NA,2099,111,NA,10.1111/1462-2920.12286,NA,NA,NA,2014-Jul,2014,"Variations in the patterns of diversity of symbionts have been described worldwide on Mimosa pudica, a pan-tropical invasive species that interacts with both alpha and beta-rhizobia. In this study, we investigated if symbiont competitiveness can explain these variations and the apparent prevalence of beta- over alpha-rhizobia. We developed an indirect method to measure the proportion of nodulation against a GFP reference strain and tested its reproducibility and efficiency. We estimated the competitiveness of 54 strains belonging to four species of beta-rhizobia and four of alpha-rhizobia, and the influence of the host genotype on their competitiveness. Our results were compared with biogeographical patterns of symbionts and host varieties. We found: (i) a strong strain effect on competitiveness largely explained by the rhizobial species, with Burkholderia phymatum being the most competitive species, followed by B.tuberum, whereas all other species shared similar and reduced levels of competitiveness; (ii) plant genotype can increase the competitiveness of Cupriavidus taiwanensis. The latter data support the likelihood of the strong adaptation of C.taiwanensis with the M.pudica var. unijuga and help explain its prevalence as a symbiont of this variety over Burkholderia species in some environments, most notably in Taiwan.",,,NA,NA,NA,NA,NA,NA,24,0,0,0,23,0,24,NA,NA,,1462-2920,NA,MEDLINE:24131520,24131520,NA
10,Smriti,NO,J,"De Meyer, Sofie E; Ruthrof, Katinka X; Edwards, Tom; Hopkins, Anna J M; Hardy, Giles; O'Hara, Graham; Howieson, John",NA,NA,NA,"Edwards, Tom/R-6585-2018","Edwards, Tom/0000-0003-1470-5098; De Meyer, Sofie/0000-0003-3555-7346; Hardy, Giles/0000-0001-7419-5064; Hopkins, Anna/0000-0001-8090-5544",NA,NA,Diversity of endemic rhizobia on Christmas Island: Implications for agriculture following phosphate mining.,,NA,NA,,NA,NA,NA,Systematic and applied microbiology,NA,NA,NA,41,6,NA,NA,641,649,NA,10.1016/j.syapm.2018.07.004,NA,NA,NA,2018-Nov,2018,"Given that phosphate supplies may diminish and become uneconomic to mine after 2020, there is a compelling need to develop alternative industries to support the population on Christmas Island. Former mine sites could be turned into productive agricultural land, however, large-scale commercial agriculture has never been attempted, and, given the uniqueness of the island, the diversity of rhizobia prior to introducing legumes needed evaluation. Therefore, 84 rhizobia isolates were obtained from nine different hosts, both crop and introduced legumes, located at seven sites across the island. Based on 16S rRNA and recA gene sequence analysis, the isolates grouped into 13 clades clustering within the genus Bradyrhizobium, Ensifer, Cupriavidus and Rhizobium. According to the sequences of their symbiosis genes nodC and nifH, the isolates were classified into 12 and 11 clades, respectively, and clustered closest to tropical or crop legume isolates. Moreover, the symbiosis gene phylogeny and Multi Locus Sequence Analysis gene phylogeny suggested vertical transmission in the Alpha-rhizobia but horizontal transmission within the Beta-rhizobia. Furthermore, this study provides evidence of a large diversity of endemic rhizobia associated with both crop and introduced legumes, and highlights the necessity of inoculation for common bean, chickpea and soybean on the Island.",,,NA,NA,NA,NA,NA,NA,5,0,0,0,4,0,5,NA,NA,,1618-0984,NA,MEDLINE:30145046,30145046,NA
13,Smriti,NO,J,"Klonowska, Agnieszka; Melkonian, Remy; Miche, Lucie; Tisseyre, Pierre; Moulin, Lionel",NA,NA,NA,"Moulin, Lionel/C-2921-2008","Moulin, Lionel/0000-0001-9068-6912; Klonowska, Agnieszka/0000-0003-3325-7980",NA,NA,"Transcriptomic profiling of Burkholderia phymatum STM815, Cupriavidus taiwanensis LMG19424 and Rhizobium mesoamericanum STM3625 in response to Mimosa pudica root exudates illuminates the molecular basis of their nodulation competitiveness and symbiotic evolutionary history.",,NA,NA,,NA,NA,NA,BMC genomics,NA,NA,NA,19,1,NA,NA,105,105,NA,10.1186/s12864-018-4487-2,NA,NA,NA,2018 Jan 30,2018,"BACKGROUND: Rhizobial symbionts belong to the classes Alphaproteobacteria and Betaproteobacteria (called alpha and beta-rhizobia). Most knowledge on the genetic basis of symbiosis is based on model strains belonging to alpha-rhizobia. Mimosa pudica is a legume that offers an excellent opportunity to study the adaptation toward symbiotic nitrogen fixation in beta-rhizobia compared to alpha-rhizobia. In a previous study (Melkonian et al., Environ Microbiol 16:2099-111, 2014) we described the symbiotic competitiveness of M. pudica symbionts belonging to Burkholderia, Cupriavidus and Rhizobium species.RESULTS: In this article we present a comparative analysis of the transcriptomes (by RNAseq) of B. phymatum STM815 (BP), C. taiwanensis LMG19424 (CT) and R. mesoamericanum STM3625 (RM) in conditions mimicking the early steps of symbiosis (i.e. perception of root exudates). BP exhibited the strongest transcriptome shift both quantitatively and qualitatively, which mirrors its high competitiveness in the early steps of symbiosis and its ancient evolutionary history as a symbiont, while CT had a minimal response which correlates with its status as a younger symbiont (probably via acquisition of symbiotic genes from a Burkholderia ancestor) and RM had a typical response of Alphaproteobacterial rhizospheric bacteria. Interestingly, the upregulation of nodulation genes was the only common response among the three strains; the exception was an up-regulated gene encoding a putative fatty acid hydroxylase, which appears to be a novel symbiotic gene specific to Mimosa symbionts.CONCLUSION: The transcriptional response to root exudates was correlated to each strain nodulation competitiveness, with Burkholderia phymatum appearing as the best specialised symbiont of Mimosa pudica.",,,NA,NA,NA,NA,NA,NA,14,0,0,0,11,0,14,NA,NA,,1471-2164,NA,MEDLINE:29378510,29378510,NA
29,Smriti,NO,J,"Tong, Wenjun; Li, Xiangchen; Wang, Entao; Cao, Ying; Chen, Weimin; Tao, Shiheng; Wei, Gehong",NA,NA,NA,,,NA,NA,Genomic insight into the origins and evolution of symbiosis genes in Phaseolus vulgaris microsymbionts.,,NA,NA,,NA,NA,NA,BMC genomics,NA,NA,NA,21,1,NA,NA,186,186,NA,10.1186/s12864-020-6578-0,NA,NA,NA,2020 Feb 27,2020,"BACKGROUND: Phaseolus vulgaris (common bean) microsymbionts belonging to the bacterial genera Rhizobium, Bradyrhizobium, and Ensifer (Sinorhizobium) have been isolated across the globe. Individual symbiosis genes (e.g., nodC) of these rhizobia can be different within each genus and among distinct genera. Little information is available about the symbiotic structure of indigenous Rhizobium strains nodulating introduced bean plants or the emergence of a symbiotic ability to associate with bean plants in Bradyrhizobium and Ensifer strains. Here, we sequenced the genomes of 29 representative bean microsymbionts (21 Rhizobium, four Ensifer, and four Bradyrhizobium) and compared them with closely related reference strains to estimate the origins of symbiosis genes among these Chinese bean microsymbionts.RESULTS: Comparative genomics demonstrated horizontal gene transfer exclusively at the plasmid level, leading to expanded diversity of bean-nodulating Rhizobium strains. Analysis of vertically transferred genes uncovered 191 (out of the 2654) single-copy core genes with phylogenies strictly consistent with the taxonomic status of bacterial species, but none were found on symbiosis plasmids. A common symbiotic region was wholly conserved within the Rhizobium genus yet different from those of the other two genera. A single strain of Ensifer and two Bradyrhizobium strains shared similar gene content with soybean microsymbionts in both chromosomes and symbiotic regions.CONCLUSIONS: The 19 native bean Rhizobium microsymbionts were assigned to four defined species and six putative novel species. The symbiosis genes of R. phaseoli, R. sophoriradicis, and R. esperanzae strains that originated from Mexican bean-nodulating strains were possibly introduced alongside bean seeds. R. anhuiense strains displayed distinct host ranges, indicating transition into bean microsymbionts. Among the six putative novel species exclusive to China, horizontal transfer of symbiosis genes suggested symbiosis with other indigenous legumes and loss of originally symbiotic regions or non-symbionts before the introduction of common bean into China. Genome data for Ensifer and Bradyrhizobium strains indicated symbiotic compatibility between microsymbionts of common bean and other hosts such as soybean.",,,NA,NA,NA,NA,NA,NA,6,0,0,0,5,0,6,NA,NA,,1471-2164,NA,MEDLINE:32106817,32106817,NA
34,Smriti,NO,J,"Lama, Jyoti K; Bachoon, Dave S",NA,NA,NA,,"Lama, Jyoti/0000-0001-8452-3594",NA,NA,"Detection of Brucella suis, Campylobacter jejuni, and Escherichia coli Strains in Feral Pig (Sus scrofa) Communities of Georgia.",,NA,NA,,NA,NA,NA,"Vector borne and zoonotic diseases (Larchmont, N.Y.)",NA,NA,NA,18,7,NA,NA,350,355,NA,10.1089/vbz.2017.2187,NA,NA,NA,2018-07,2018,"Feral pigs (Sus scrofa) are an environmentally destructive invasive species that act as a reservoir for zoonotic pathogens. The aim of this study was to determine the presence of Brucella suis, Campylobacter jejuni, and of Escherichia coli in feces of feral pigs from Georgia. Fecal samples were collected from 87 feral pigs from forested and agricultural regions of Georgia. DNA was extracted from the fecal samples and quantitative PCR (qPCR) was used to screen for each of the four pathogens. The qPCR assays indicated that B. suis and eaeA-containing strains of E. coli was present in about 22% and 28% of the samples, respectively. C. jejuni was undetected in any of the feral pig fecal samples. The incidence of B. suis was higher in the pigs from forested region, whereas E. coli strains possessing eaeA gene incidence was higher in the pigs from agricultural regions. In Georgia, feral pigs harbor infectious agents and are a growing threat to the transmission of pathogens to native wildlife, humans, and food crops.",,,NA,NA,NA,NA,NA,NA,3,0,0,0,1,0,3,NA,NA,,1557-7759,NA,MEDLINE:29698123,29698123,NA
35,Smriti,NO,J,"Crepin, Lucie; Lombard, Eric; Guillouet, Stephane E",NA,NA,NA,,"guillouet, stephane/0000-0002-5175-9442",NA,NA,Metabolic engineering of Cupriavidus necator for heterotrophic and autotrophic alka(e)ne production.,,NA,NA,,NA,NA,NA,Metabolic engineering,NA,NA,NA,37,,NA,NA,92,101,NA,10.1016/j.ymben.2016.05.002,NA,NA,NA,2016-09,2016,"Alkanes of defined carbon chain lengths can serve as alternatives to petroleum-based fuels. Recently, microbial pathways of alkane biosynthesis have been identified and enabled the production of alkanes in non-native producing microorganisms using metabolic engineering strategies. The chemoautotrophic bacterium Cupriavidus necator has great potential for producing chemicals from CO2: it is known to have one of the highest growth rate among natural autotrophic bacteria and under nutrient imbalance it directs most of its carbon flux to the synthesis of the acetyl-CoA derived polymer, polyhydroxybutyrate (PHB), (up to 80% of intracellular content). Alkane synthesis pathway from Synechococcus elongatus (2 genes coding an acyl-ACP reductase and an aldehyde deformylating oxygenase) was heterologously expressed in a C. necator mutant strain deficient in the PHB synthesis pathway. Under heterotrophic condition on fructose we showed that under nitrogen limitation, in presence of an organic phase (decane), the strain produced up to 670mg/L total hydrocarbons containing 435mg/l of alkanes consisting of 286mg/l of pentadecane, 131mg/l of heptadecene, 18mg/l of heptadecane, and 236mg/l of hexadecanal. We report here the highest level of alka(e)nes production by an engineered C. necator to date. We also demonstrated the first reported alka(e)nes production by a non-native alkane producer from CO2 as the sole carbon source.",,,NA,NA,NA,NA,NA,NA,51,1,0,0,35,0,51,NA,NA,,1096-7184,NA,MEDLINE:27212691,27212691,NA
37,Smriti,NO,J,"Carr, Amanda N; Milleson, Michael P; Hernandez, Felipe A; Merrill, Hunter R; Avery, Michael L; Wisely, Samantha M",NA,NA,NA,,"Hernandez, Felipe/0000-0003-3250-9701; Carr, Amanda/0000-0003-1808-9472; Wisely, Samantha/0000-0003-1748-4518",NA,NA,"Wildlife Management Practices Associated with Pathogen Exposure in Non-Native Wild Pigs in Florida, U.S.",,NA,NA,,NA,NA,NA,Viruses,NA,NA,NA,11,1,NA,NA,,,NA,10.3390/v11010014,NA,NA,NA,2018 Dec 26,2018,"Land use influences disease emergence by changing the ecological dynamics of humans, wildlife, domestic animals, and pathogens. This is a central tenet of One Health, and one that is gaining momentum in wildlife management decision-making in the United States. Using almost 2000 serological samples collected from non-native wild pigs (Sus scrofa) throughout Florida (U.S.), we compared the prevalence and exposure risk of two directly transmitted pathogens, pseudorabies virus (PrV) and Brucella spp., to test the hypothesis that disease emergence would be positively correlated with one of the most basic wildlife management operations: Hunting. The seroprevalence of PrV-Brucella spp. coinfection or PrV alone was higher for wild pigs in land management areas that allowed hunting with dogs than in areas that culled animals using other harvest methods. This pattern did not hold for Brucella alone. The likelihood of exposure to PrV, but not Brucella spp., was also significantly higher among wild pigs at hunted sites than at sites where animals were culled. By failing to consider the impact of dog hunting on the emergence of non-native pathogens, current animal management practices have the potential to affect public health, the commercial livestock industry, and wildlife conservation.",,,NA,NA,NA,NA,NA,NA,5,0,0,0,2,0,5,NA,NA,,1999-4915,NA,MEDLINE:30587789,30587789,NA
38,Smriti,NO,J,"Dawkins, Karim; Esiobu, Nwadiuto",NA,NA,NA,,,NA,NA,Emerging Insights on Brazilian Pepper Tree (Schinus terebinthifolius) Invasion: The Potential Role of Soil Microorganisms.,,NA,NA,,NA,NA,NA,Frontiers in plant science,NA,NA,NA,7,,NA,NA,712,712,NA,10.3389/fpls.2016.00712,NA,NA,NA,2016,2016,"Invasive plant species constitute a major ecological and economic problem worldwide, often distorting trophic levels and ecosystem balance. Numerous studies implicate factors ranging from environmental plasticity, competition for nutrient and space, and allelopathy in the success of invasive species in general. The Brazilian Pepper tree (BP) was introduced to the United States in the 1800s and has since become a category one invasive plant in Florida. It has aggressively spread to about 3000 km(2) of terrestrial surface, fueled in part by the prevalence of the hybrid genotypes and environmental perturbations. It displays some of the well-established invasive mechanisms but there is a serious dearth of knowledge on the plant-microbe-soil interactions and whether the rhizobiome plays any roles in the displacement of native flora and the range expansion of BP. Several control measures, including chemical, mechanical, and biological antagonism have been used with limited success while restoration of natives in soils from which BP was removed has proved problematic partly due to a poorly understood phenomenon described as the BP legacy effect. Emerging evidence suggests that allelopathy, selective recruitment of beneficial soil microbes, disruption of microbial community structure and alteration of nutrient cycling, exhibited by many other invasive plant species may also be involved in the case of BP. This brief review discusses the well-established BP invasion mechanisms and highlights the current understanding of the molecular, below-ground processes. It also points out the gaps in studies on the potential role of microbial interactions in the success of BP invasion. These hitherto poorly studied mechanisms could further explain the aggressive spread of BP and could potentially contribute significantly to effective control measures and enable appropriate strategies for restoring native plants. The review advocates for the use of cutting-edge techniques in advancing the plant microbiome science. Ultimately, comparing metagenomic analyses of the rhizobiome of invasive plants grown in native and non-native soils could lead to a better understanding of the microbial determinants of biotic resistance, potentially empowering environmental managers with some predictive power of future trends of plant invasion.",,,NA,NA,NA,NA,NA,NA,18,0,0,0,14,2,20,NA,NA,1664-462X,,NA,MEDLINE:27252726,27252726,NA
48,Smriti,NO,J,"Ziani, Widade; Maillard, Antoine P; Petit-Hartlein, Isabelle; Garnier, Norbert; Crouzy, Serge; Girard, Eric; Coves, Jacques",NA,NA,NA,"; Maillard, Antoine/C-5236-2013","Girard, Eric/0000-0002-5758-6095; Maillard, Antoine/0000-0002-3658-041X; Garnier, Norbert/0000-0003-1941-1814",NA,NA,The X-ray structure of NccX from Cupriavidus metallidurans 31A illustrates potential dangers of detergent solubilization when generating and interpreting crystal structures of membrane proteins.,,NA,NA,,NA,NA,NA,The Journal of biological chemistry,NA,NA,NA,289,45,NA,NA,31160,72,NA,10.1074/jbc.M114.586537,NA,NA,NA,2014-Nov-07,2014,"The x-ray structure of NccX, a type II transmembrane metal sensor, from Cupriavidus metallidurans 31A has been determined at a resolution of 3.12 A. This was achieved after solubilization by dodecylphosphocholine and purification in the presence of the detergent. NccX crystal structure did not match the model based on the extensively characterized periplasmic domain of its closest homologue CnrX. Instead, the periplasmic domains of NccX appeared collapsed against the hydrophobic transmembrane segments, leading to an aberrant topology incompatible with membrane insertion. This was explained by a detergent-induced redistribution of the hydrophobic interactions among the transmembrane helices and a pair of hydrophobic patches keeping the periplasmic domains together in the native dimer. Molecular dynamics simulations performed with the full-length protein or with the transmembrane segments were used along with in vivo homodimerization assays (TOXCAT) to evaluate the determinants of the interactions between NccX protomers. Taken as a whole, computational and experimental results are in agreement with the structural model of CnrX where a cradle-shaped periplasmic metal sensor domain is anchored into the inner membrane by two N-terminal helices. In addition, they show that the main determinant of NccX dimerization is the periplasmic soluble domain and that the interaction between transmembrane segments is highly dynamic. The present work introduces a new crystal structure for a transmembrane protein and, in line with previous studies, substantiates the use of complementary theoretical and in vivo investigations to rationalize a three-dimensional structure obtained in non-native conditions.",,,NA,NA,NA,NA,NA,NA,8,0,0,0,6,0,8,NA,NA,,1083-351X,NA,MEDLINE:25258316,25258316,NA
